step,time_s,success,routeB_residual,tip_x,tip_y,tip_z,target_x,target_y,target_z,err_x,err_y,err_z,tension_margin_low,tension_margin_high,torque_margin_low,torque_margin_high,active_lower_count,active_upper_count,cable_active_lower_count,cable_active_upper_count,jacobian_backend,jacobian_fallback,T_1,Tlow_1,Tup_1,T_2,Tlow_2,Tup_2,T_3,Tlow_3,Tup_3,T_4,Tlow_4,Tup_4,T_5,Tlow_5,Tup_5,T_6,Tlow_6,Tup_6,T_7,Tlow_7,Tup_7,T_8,Tlow_8,Tup_8,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,uwo_1,ua_1,uwo_2,ua_2,uwo_3,ua_3,uwo_4,ua_4,uwo_5,ua_5,uwo_6,ua_6,uwo_7,ua_7,uwo_8,ua_8,uwo_9,ua_9,uwo_10,ua_10,uwo_11,ua_11,uwo_12,ua_12,uwo_13,ua_13,uwo_14,ua_14
1,0,1,9.9939949999754e-15,0.156636642600868,0.107690361047947,0.285124963237541,0.336636642600868,0.00769036104794683,0.285124963237541,-0.18,0.1,0,1.30109256701871e-11,476.056475341532,39.5711566947489,39.7252875026442,4,0,4,0,fd,1,14.3444298218243,0,0,14.3444298218243,0,0,5.00000000001707,1,0,5.00000000001707,1,0,5.00000000001301,1,0,5.00000000001301,1,0,23.9435246584678,0,0,23.9435246584678,0,0,0.0591620715066625,0.274712497355764,-0.428843305251092,-0.00435305970743348,0.0527418701686357,-0.000112080560725758,14.3444298218243,14.3444298218243,14.3444298218243,14.3444298218243,5.00000000001707,5.00000000001707,5.00000000001707,5.00000000001707,5.00000000001301,5.00000000001301,5.00000000001301,5.00000000001301,23.9435246584678,23.9435246584678,23.9435246584678,23.9435246584678,0.0591620715066625,0.0591620715066625,-0.657979179230807,0.274712497355764,0.157488478159316,-0.428843305251092,-0.00435305970743372,-0.00435305970743348,-0.00685717605158231,0.0527418701686357,-0.000112080560725758,-0.000112080560725758
2,0.02,1,9.27606852135872e-15,0.163835813456103,0.103690357024584,0.285131766081993,0.336636642600868,0.00769036104794683,0.285124963237541,-0.172800829144765,0.0959999959766372,6.80284445198076e-06,5.34545741004422e-10,484.274765580616,39.4863124630642,39.3918902066138,4,0,4,0,fd,1,10.8856805478995,0,0,10.8856805478995,0,0,5.00000000109612,1,0,5.00000000109612,1,0,5.00000000053455,1,0,5.00000000053455,1,0,15.7252344193844,0,0,15.7252344193844,0,0,0.0320187177730652,0.608109793386217,-0.513687536935753,-0.00190801342995345,0.0561838986744173,-3.37235033051264e-05,10.8856805478995,10.8856805478995,10.8856805478995,10.8856805478995,5.00000000109612,5.00000000109612,5.00000000109612,5.00000000109612,5.00000000053455,5.00000000053455,5.00000000053455,5.00000000053455,15.7252344193844,15.7252344193844,15.7252344193844,15.7252344193844,0.0319932464030259,0.0320187177730652,-0.331512301250861,0.608109793386217,0.0727057565642397,-0.513687536935753,-0.00192831281024297,-0.00190801342995345,-0.00337121054189282,0.0561838986744173,-3.39668621194278e-05,-3.37235033051264e-05
3,0.04,1,8.82038223507219e-15,0.175066792478229,0.0974501507129159,0.285139551948103,0.336636642600868,0.00769036104794683,0.285124963237541,-0.161569850122639,0.089759789664969,1.45887105623688e-05,5.12478948166972e-13,489.585282682558,39.436275886298,39.1814115751873,4,0,4,0,fd,1,8.62883004009134,0,0,8.62883004009134,0,0,5.00000000000051,1,0,5.00000000000051,1,0,5.00000000005865,1,0,5.00000000005865,1,0,10.4147173174421,0,0,10.4147173174421,0,0,0.0147836450255299,0.818588424812677,-0.563724113702032,-0.000478807144942699,0.0582661344022858,7.62571296269365e-06,8.62883004009134,8.62883004009134,8.62883004009134,8.62883004009134,5.00000000000051,5.00000000000051,5.00000000000051,5.00000000000051,5.00000000005865,5.00000000005865,5.00000000005865,5.00000000005865,10.4147173174421,10.4147173174421,10.4147173174421,10.4147173174421,0.0147226467370771,0.0147836450255299,-0.131544425244762,0.818588424812677,0.022645600365081,-0.563724113702032,-0.000521203874704668,-0.000478807144942699,-0.00122365421767512,0.0582661344022858,7.22999357805065e-06,7.62571296269365e-06
4,0.06,1,7.16005404765395e-15,0.188267909624247,0.0901157424739616,0.285145575505675,0.336636642600868,0.00769036104794683,0.285124963237541,-0.148368732976621,0.0824253814260148,2.06122681347676e-05,4.80877559994042e-11,492.829262535607,39.4096244149383,39.054652563386,4,0,4,0,fd,1,7.17073746439302,0,0,7.17073746439302,0,0,5.00000000041072,1,0,5.00000000041072,1,0,5.00000000004809,1,0,5.00000000004809,1,0,7.04876402159652,0,0,7.04876402159652,0,0,0.00423634955864318,0.945347436614012,-0.590375585061672,0.000250668800182938,0.0594092683123566,2.4274244476954e-05,7.17073746439302,7.17073746439302,7.17073746439302,7.17073746439302,5.00000000041072,5.00000000041072,5.00000000041072,5.00000000041072,5.00000000004809,5.00000000004809,5.00000000004809,5.00000000004809,7.04876402159652,7.04876402159652,7.04876402159652,7.04876402159652,0.00415332935651236,0.00423634955864318,-0.0168085560655129,0.945347436614012,-0.00415917774208197,-0.590375585061672,0.00020156087952472,0.000250668800182938,-6.1911789330793e-06,0.0594092683123566,2.39999271087754e-05,2.4274244476954e-05
5,0.08,1,5.65103994419731e-15,0.20212330419885,0.0824184884769344,0.285148979170284,0.336636642600868,0.00769036104794683,0.285124963237541,-0.134513338402018,0.0747281274289875,2.4015932743926e-05,1.60696345119504e-10,493.742542687246,39.3968228024185,38.9790135937627,4,0,4,0,fd,1,6.25745731275442,0,0,6.25745731275442,0,0,5.00911581473565,0,0,5.00911581473565,0,0,5.0000000001607,1,0,5.0000000001607,1,0,5.0000000112039,1,0,5.0000000112039,1,0,-0.00220875706595545,1.02098640623734,-0.603177197581516,0.000555387203773741,0.0600680267381981,2.64188256218117e-05,6.25745731275442,6.25745731275442,6.25745731275442,6.25745731275442,5.00911581473565,5.00911581473565,5.00911581473565,5.00911581473565,5.0000000001607,5.0000000001607,5.0000000001607,5.0000000001607,5.0000000112039,5.0000000112039,5.0000000112039,5.0000000112039,-0.00229905383314843,-0.00220875706595545,0.0465148766231138,1.02098640623734,-0.0172472519317708,-0.603177197581516,0.000515120222665644,0.000555387203773741,0.000728564286788469,0.0600680267381981,2.65410973980806e-05,2.64188256218117e-05
6,0.1,1,6.88485987696482e-15,0.215817241345051,0.0748115970076887,0.285149842463092,0.336636642600868,0.00769036104794683,0.285124963237541,-0.120819401255817,0.0671212359597419,2.48792255519437e-05,9.53685130866688e-10,493.816259799681,39.3925421997861,38.9383602706396,4,0,4,0,fd,1,6.03118760658884,0,0,6.03118760658884,0,0,6.18374020031923,0,0,6.18374020031923,0,0,5.00000002994597,1,0,5.00000002994597,1,0,5.00000000095369,1,0,5.00000000095369,1,0,-0.00557705807792858,1.06163972936035,-0.607457800213858,0.000621312365574231,0.0602836191903273,2.25800659977355e-05,6.03118760658884,6.03118760658884,6.03118760658884,6.03118760658884,6.18374020031923,6.18374020031923,6.18374020031923,6.18374020031923,5.00000002994597,5.00000002994597,5.00000002994597,5.00000002994597,5.00000000095369,5.00000000095369,5.00000000095369,5.00000000095369,-0.00566387615857877,-0.00557705807792858,0.0752578291911377,1.06163972936035,-0.0219233912933916,-0.607457800213858,0.000601222883936714,0.000621312365574231,0.00101701407636767,0.0602836191903273,2.33129597617676e-05,2.25800659977355e-05
7,0.12,1,4.69088430467392e-15,0.228866649752008,0.0675632457995288,0.285148649514323,0.336636642600868,0.00769036104794683,0.285124963237541,-0.10776999284886,0.059872884751582,2.36862767820645e-05,3.34843264226947e-13,493.221450366008,39.3926498104981,38.9170486414319,4,0,4,0,fd,1,5.91553457831713,0,0,5.91553457831713,0,0,6.77854963399225,0,0,6.77854963399225,0,0,5.00000000017212,1,0,5.00000000017212,1,0,5.00000000000033,1,0,5.00000000000033,1,0,-0.00721608339090349,1.08295135856809,-0.607350189501906,0.000567655173829995,0.0602800049105262,1.62204576629554e-05,5.91553457831713,5.91553457831713,5.91553457831713,5.91553457831713,6.77854963399225,6.77854963399225,6.77854963399225,6.77854963399225,5.00000000017212,5.00000000017212,5.00000000017212,5.00000000017212,5.00000000000033,5.00000000000033,5.00000000000033,5.00000000000033,-0.00729395658968457,-0.00721608339090349,0.0853981022331993,1.08295135856809,-0.0222888682763909,-0.607350189501906,0.000574269704436858,0.000567655173829995,0.00108072048981001,0.0602800049105262,1.77045141924737e-05,1.62204576629554e-05
8,0.14,1,8.42693293628443e-15,0.241007439221372,0.0608199582106302,0.285146026805458,0.336636642600868,0.00769036104794683,0.285124963237541,-0.0956292033794958,0.0531295971626834,2.10635679169791e-05,5.72875080706581e-13,493.002695897652,39.3947026101605,38.9064040848488,4,0,4,0,fd,1,5.87195612741153,0,0,5.87195612741153,0,0,6.99730410234809,0,0,6.99730410234809,0,0,5.00000000031102,1,0,5.00000000031102,1,0,5.00000000000057,1,0,5.00000000000057,1,0,-0.00781504525213547,1.0935959151512,-0.605297389839545,0.000468452175149863,0.0601657780964765,9.87469422971015e-06,5.87195612741153,5.87195612741153,5.87195612741153,5.87195612741153,6.99730410234809,6.99730410234809,6.99730410234809,6.99730410234809,5.00000000031102,5.00000000031102,5.00000000031102,5.00000000031102,5.00000000000057,5.00000000000057,5.00000000000057,5.00000000000057,-0.00788189311611376,-0.00781504525213547,0.0857448112229662,1.0935959151512,-0.0207534298020136,-0.605297389839545,0.000504764418096215,0.000468452175149863,0.00102737146124099,0.0601657780964765,1.21852916805665e-05,9.87469422971015e-06
9,0.16,1,5.9944104828239e-15,0.252117475559586,0.0546494223792469,0.285142540915098,0.336636642600868,0.00769036104794683,0.285124963237541,-0.084519167041282,0.0469590613313,1.7577677557723e-05,9.33475519104832e-13,493.021438166083,39.3974133320257,38.9014253549591,4,0,4,0,fd,1,5.87384749322087,0,0,5.87384749322087,0,0,6.97856183391684,0,0,6.97856183391684,0,0,5.00000000015238,1,0,5.00000000015238,1,0,5.00000000000093,1,0,5.00000000000093,1,0,-0.00780695360116633,1.09857464504091,-0.602586667974296,0.000361140600793895,0.0600041420256389,4.57564312127431e-06,5.87384749322087,5.87384749322087,5.87384749322087,5.87384749322087,6.97856183391684,6.97856183391684,6.97856183391684,6.97856183391684,5.00000000015238,5.00000000015238,5.00000000015238,5.00000000015238,5.00000000000093,5.00000000000093,5.00000000000093,5.00000000000093,-0.00786269051209842,-0.00780695360116633,0.0813239171107014,1.09857464504091,-0.018576492011924,-0.602586667974296,0.000427799415561481,0.000361140600793895,0.000920098860405005,0.0600041420256389,7.7383596064351e-06,4.57564312127431e-06
10,0.18,1,9.4880587899763e-15,0.262164700894247,0.0490693273604473,0.28513862600956,0.336636642600868,0.00769036104794683,0.285124963237541,-0.0744719417066205,0.0413789663125005,1.36627720193072e-05,2.23111662478459e-09,493.183035046741,39.4004309556868,38.8999719747853,4,0,4,0,fd,1,5.90209223914362,0,0,5.90209223914362,0,0,6.81696495325928,0,0,6.81696495325928,0,0,5.00000018403239,1,0,5.00000018403239,1,0,5.00000000223112,1,0,5.00000000223112,1,0,-0.00744016384335802,1.10002802521465,-0.599569044313175,0.000253321878869517,0.0598245742815522,6.010512434964e-08,5.90209223914362,5.90209223914362,5.90209223914362,5.90209223914362,6.81696495325928,6.81696495325928,6.81696495325928,6.81696495325928,5.00000018403239,5.00000018403239,5.00000018403239,5.00000018403239,5.00000000223112,5.00000000223112,5.00000000223112,5.00000000223112,-0.00748571704016854,-0.00744016384335802,0.074243599258196,1.10002802521465,-0.0160888311721195,-0.599569044313175,0.000349569932438953,0.000253321878869517,0.000788782559105528,0.0598245742815522,4.06645958861418e-06,6.010512434964e-08
