step,time_s,tip_x,tip_y,tip_z,des_x,des_y,des_z,err_x,err_y,err_z,err_norm,q_platform_x,q_platform_y,q_platform_psi,solver_status,fail_reason,fallback_applied,hold_active,u_a_1,u_a_2,u_a_3,u_a_4,u_a_5,u_a_6,u_a_7,u_a_8,u_a_9,u_a_10,u_a_11,u_a_12,u_a_13,u_a_14,qdd_1,qdd_2,qdd_3,qdd_4,qdd_5,qdd_6,qdd_7,qdd_8,qdd_9,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,cable_force_1,cable_force_2,cable_force_3,cable_force_4,cable_force_5,cable_force_6,cable_force_7,cable_force_8,cable_length_1,cable_length_2,cable_length_3,cable_length_4,cable_length_5,cable_length_6,cable_length_7,cable_length_8,arm_torque_1,arm_torque_2,arm_torque_3,arm_torque_4,arm_torque_5,arm_torque_6
1.0,0.0,0.057021164387191264,0.010002371411802219,0.24858416458402482,0.05702116438719139,0.010002371411802463,0.24858416458402444,1.249000902703301e-16,2.445960101127298e-16,-3.885780586188048e-16,4.75836262124444e-16,-7.479730696657616e-22,-3.933705483971411e-20,1.0043331443545022e-21,min_task,none,false,false,6.999999999999999,6.999999999999999,6.999999999999999,6.999999999999999,6.999999999999999,6.999999999999999,6.999999999999999,6.999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,5.491327355124636e-17,-5.662033291799804e-17,2.2096142193548935e-17,0.0,0.0,0.0,0.0,0.0,0.0,-7.479730696657616e-22,-3.933705483971411e-20,1.0043331443545022e-21,0.0,0.58,0.92,0.0,0.0,0.0,6.999999999999999,6.999999999999999,6.999999999999999,6.999999999999999,6.999999999999999,6.999999999999999,6.999999999999999,6.999999999999999,1.2020815280171306,1.2020815280171306,1.2020815280171306,1.2020815280171306,1.2020815280171306,1.2020815280171306,1.2020815280171306,1.2020815280171306,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.02,0.05703391740108467,0.010002611349291281,0.24858416458402502,0.05702578371256639,0.010002371411802463,0.24858416458402444,-8.13368851827756e-06,-2.399374888183148e-07,-5.828670879282072e-16,8.137226733408665e-06,1.2752746175277329e-05,2.414636867428914e-07,-2.6765459312472713e-08,min_task,none,false,false,7.202772321575186,7.202772321575186,7.0,7.0,7.0,7.0,7.202772321575065,7.202772321575065,0.0,0.0,0.0,0.0,0.0,0.0,0.08193239064154859,2.453097264553105e-14,-3.0633027745211814e-21,0.0,0.0,0.0,0.0,0.0,0.0,1.2752746175277329e-05,2.414636867428914e-07,-2.6765459312472713e-08,0.0,0.58,0.92,0.0,0.0,0.0,7.202772321575186,7.202772321575186,7.0,7.0,7.0,7.0,7.202772321575065,7.202772321575065,1.2020723397558177,1.2020723397558177,1.2020903748649792,1.2020903748649792,1.202090716343553,1.202090716343553,1.2020726812395148,1.2020726812395148,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.04,0.05708221086471399,0.010003447736506922,0.2485841645840249,0.05705728379919139,0.010002371411802463,0.24858416458402444,-2.492706552260221e-05,-1.0763247044586616e-06,-4.718447854656915e-16,2.4950291991027518e-05,6.104525682586007e-05,1.0832836114987625e-06,-1.2204076843173527e-07,min_task,none,false,false,7.39931205010064,7.39931205010064,7.0,7.0,7.0,7.0,7.401584304806311,7.401584304806311,0.0,0.0,0.0,0.0,0.0,0.0,0.161761848742119,-0.00045989392153661894,3.1359256289027827e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.104525682586007e-05,1.0832836114987625e-06,-1.2204076843173527e-07,0.0,0.58,0.92,0.0,0.0,0.0,7.39931205010064,7.39931205010064,7.0,7.0,7.0,7.0,7.401584304806311,7.401584304806311,1.2020375972535773,1.2020375972535773,1.2021239283386886,1.2021239283386886,1.2021254602761933,1.2021254602761933,1.2020391293011066,1.2020391293011066,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.06,0.05718792093231746,0.010005106200799406,0.2485841645840246,0.05714028307831639,0.010002371411802463,0.24858416458402444,-4.76378540010744e-05,-2.7347889969431965e-06,-1.6653345369377348e-16,4.771628867258519e-05,0.00016675337962397403,2.752834796400168e-06,-3.1647545256409584e-07,min_task,none,false,false,7.58672196205618,7.58672196205618,7.000000000000001,7.000000000000001,7.000000000000001,7.000000000000001,7.592996929919665,7.592996929919665,0.0,0.0,0.0,0.0,0.0,0.0,0.23812751652308173,-0.0012715319047518897,1.2980320590559788e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00016675337962397403,2.752834796400168e-06,-3.1647545256409584e-07,0.0,0.58,0.92,0.0,0.0,0.0,7.58672196205618,7.58672196205618,7.000000000000001,7.000000000000001,7.000000000000001,7.000000000000001,7.592996929919665,7.592996929919665,1.2019616746241761,1.2019616746241761,1.2021974998961684,1.2021974998961684,1.2022013925974473,1.2022013925974473,1.2019655680892019,1.2019655680892019,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.08,0.05737168004130028,0.010007704523119184,0.24858416458402496,0.057297001571191386,0.010002371411802463,0.24858416458402444,-7.467847010889095e-05,-5.3331113167211924e-06,-5.273559366969494e-16,7.48686581562743e-05,0.0003505093479948695,5.369061055187139e-06,-6.304630344857642e-07,min_task,none,false,false,7.762844477602106,7.762844477602106,6.999999999999998,6.999999999999998,6.999999999999998,6.999999999999998,7.774364816402898,7.774364816402898,0.0,0.0,0.0,0.0,0.0,0.0,0.30997782253235684,-0.002337333954896629,2.9811837287438814e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0003505093479948695,5.369061055187139e-06,-6.304630344857642e-07,0.0,0.58,0.92,0.0,0.0,0.0,7.762844477602106,7.762844477602106,6.999999999999998,6.999999999999998,6.999999999999998,6.999999999999998,7.774364816402898,7.774364816402898,1.2018299087872806,1.2018299087872806,1.2023256054167928,1.2023256054167928,1.2023331967952373,1.2023331967952373,1.2018375032967816,1.2018375032967816,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.1,0.057652625952545916,0.010011273942780435,0.24858416458402469,0.05754733743406639,0.010002371411802463,0.24858416458402444,-0.0001052885184795252,-8.902530977971529e-06,-2.498001805406602e-16,0.00010566421902151675,0.0006314508017961248,8.963891684811728e-06,-1.0761039580751002e-06,min_task,none,false,false,7.926134983054786,7.926134983054786,7.0,7.0,7.0,7.0,7.943713506660722,7.943713506660722,0.0,0.0,0.0,0.0,0.0,0.0,0.3765221769942803,-0.003571147070024649,5.101081644325983e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0006314508017961248,8.963891684811728e-06,-1.0761039580751002e-06,0.0,0.58,0.92,0.0,0.0,0.0,7.926134983054786,7.926134983054786,7.0,7.0,7.0,7.0,7.943713506660722,7.943713506660722,1.201628767146016,1.201628767146016,1.2025217780833533,1.2025217780833533,1.2025344500631878,1.2025344500631878,1.2016414485431495,1.2016414485431495,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.12000000000000001,0.05804821916088107,0.010015778369452224,0.2485841645840245,0.05790894350319139,0.010002371411802463,0.24858416458402444,-0.0001392756576896817,-1.3406957649760368e-05,-5.551115123125783e-17,0.00013991946018447848,0.0010270381710339317,1.3501605942959888e-05,-1.6598798031251249e-06,min_task,none,false,false,8.075551697898668,8.075551697898668,7.000000000000001,7.000000000000001,7.000000000000001,7.000000000000001,8.09963026748701,8.09963026748701,0.0,0.0,0.0,0.0,0.0,0.0,0.4371885808390282,-0.004898473673258841,7.186428072481399e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0010270381710339317,1.3501605942959888e-05,-1.6598798031251249e-06,0.0,0.58,0.92,0.0,0.0,0.0,8.075551697898668,8.075551697898668,7.000000000000001,7.000000000000001,7.000000000000001,7.000000000000001,8.09963026748701,8.09963026748701,1.201345969267125,1.201345969267125,1.2027984318535385,1.2027984318535385,1.2028175140505235,1.2028175140505235,1.2013650745346804,1.2013650745346804,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.14,0.05857411723014654,0.010021131329394754,0.24858416458402455,0.05839730383981639,0.010002371411802463,0.24858416458402444,-0.00017681339033015497,-1.875991759229048e-05,-1.1102230246251565e-16,0.0001778058196688547,0.001552928981740666,1.889594571189966e-05,-2.3855719592135778e-06,min_task,none,false,false,8.210460831698297,8.210460831698297,7.0,7.0,7.0,7.0,8.241167971658635,8.241167971658635,0.0,0.0,0.0,0.0,0.0,0.0,0.4915867287419244,-0.006256241857444376,8.660085424871554e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.001552928981740666,1.889594571189966e-05,-2.3855719592135778e-06,0.0,0.58,0.92,0.0,0.0,0.0,8.210460831698297,8.210460831698297,7.0,7.0,7.0,7.0,8.241167971658635,8.241167971658635,1.2009705702757165,1.2009705702757165,1.203166767008359,1.203166767008359,1.2031934645874673,1.2031934645874673,1.200997316675198,1.200997316675198,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.16,0.059244096136961404,0.010027210609550941,0.24858416458402455,0.05902581027519139,0.010002371411802463,0.24858416458402444,-0.00021828586177001508,-2.4839197748477773e-05,-1.1102230246251565e-16,0.0002196945679653143,0.002222899172619284,2.5024914192321656e-05,-3.2569729572530506e-06,min_task,none,false,false,8.330555676811203,8.330555676811203,7.0,7.0,7.0,7.0,8.3677613476885,8.3677613476885,0.0,0.0,0.0,0.0,0.0,0.0,0.539476144576189,-0.0075922517350246665,8.948783960807873e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.002222899172619284,2.5024914192321656e-05,-3.2569729572530506e-06,0.0,0.58,0.92,0.0,0.0,0.0,8.330555676811203,8.330555676811203,7.0,7.0,7.0,7.0,8.3677613476885,8.3677613476885,1.2004930125203155,1.2004930125203155,1.2036367102850918,1.2036367102850918,1.203672052807665,1.203672052807665,1.2005284475906444,1.2005284475906444,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.18,0.06007001009888199,0.010033870660260987,0.2485841645840248,0.05980583895556639,0.010002371411802463,0.24858416458402444,-0.000264171143315603,-3.149924845852366e-05,-3.608224830031759e-16,0.0002660424695685346,0.0030488029019826207,3.1743299594350736e-05,-4.280008073795298e-06,min_task,none,false,false,8.435788242995438,8.435788242995438,6.999999999999999,6.999999999999999,6.999999999999999,6.999999999999999,8.47915470466688,8.47915470466688,0.0,0.0,0.0,0.0,0.0,0.0,0.5807388704121879,-0.00886440263598269,7.584594289457834e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0030488029019826207,3.1743299594350736e-05,-4.280008073795298e-06,0.0,0.58,0.92,0.0,0.0,0.0,8.435788242995438,8.435788242995438,6.999999999999999,6.999999999999999,6.999999999999999,6.999999999999999,8.47915470466688,8.47915470466688,1.1999051510613203,1.1999051510613203,1.204216883078694,1.204216883078694,1.2042616911954998,1.2042616911954998,1.1999501201853229,1.1999501201853229,0.0,0.0,0.0,0.0,0.0,0.0
