step,time_s,tip_x,tip_y,tip_z,des_x,des_y,des_z,err_x,err_y,err_z,err_norm,q_platform_x,q_platform_y,q_platform_psi,fail_reason,fallback_applied,hold_active
1,0.0,0.057021164387191264,0.010002371411802225,0.24858416458402482,0.05702116438719139,0.010002371411802463,0.24858416458402444,1.249000902703301e-16,2.3765711620882257e-16,-3.885780586188048e-16,4.723069394728281e-16,-2.1968387758494882e-18,5.1000505964409524e-20,4.156707148478315e-18,none,False,False
2,0.02,0.05703999705490462,0.010002463074312924,0.24858375938131605,0.05702578371256639,0.010002371411802463,0.24858416458402444,-1.4213342338226242e-05,-9.166251046036078e-08,4.0520270838673156e-07,1.4219412493992938e-05,-2.764139116652325e-06,-6.923425804857933e-08,5.92163278583375e-06,none,False,False
3,0.04,0.05710862592359203,0.010002746915321263,0.24858250472552526,0.05705728379919139,0.010002371411802463,0.24858416458402444,-5.1342124400645395e-05,-3.755035187999467e-07,1.6598584991756038e-06,5.137032091686078e-05,-1.2476170226924513e-05,-2.979162776404483e-07,2.4730846364005846e-05,none,False,False
4,0.06,0.057252798840987586,0.010003234135876261,0.24858035005346396,0.05714028307831639,0.010002371411802463,0.24858416458402444,-0.00011251576267119756,-8.627240737982267e-07,3.8145305604753155e-06,0.00011258371012586842,-3.202241085076058e-05,-7.248079005209227e-07,5.8849328374953936e-05,none,False,False
5,0.08,0.057494161448327474,0.010003889786547092,0.24857744264828002,0.057297001571191386,0.010002371411802463,0.24858416458402444,-0.0001971598771360883,-1.5183747446283896e-06,6.7219357444137096e-06,0.00019728027533013682,-6.334503148038267e-05,-1.3553522860425633e-06,0.00010983250353038159,none,False,False
6,0.1,0.05785101083392741,0.010004657293140838,0.248574014529578,0.05754733743406639,0.010002371411802463,0.24858416458402444,-0.00030367339986101666,-2.2858813383749843e-06,1.015005444643391e-05,0.0003038515799562471,-0.0001076664368658053,-2.1714963127866946e-06,0.00017782759218018114,none,False,False
7,0.12000000000000001,0.05833881854104251,0.010005472855796449,0.24857031648869748,0.05790894350319139,0.010002371411802463,0.24858416458402444,-0.00042987503785112124,-3.1014439939858196e-06,1.3848095326951526e-05,0.00043010921504489424,-0.00016565817984016954,-3.139990240453459e-06,0.0002621623591167659,none,False,False
8,0.14,0.05897059625252005,0.010006273897226189,0.2485665824863743,0.05839730383981639,0.010002371411802463,0.24858416458402444,-0.000573292412703659,-3.9024854237255935e-06,1.7582097650126194e-05,0.000573575234833098,-0.00023756385664606288,-4.218355504986247e-06,0.0003617165636048136,none,False,False
9,0.16,0.059757156731663916,0.010007003892819413,0.24856301238719355,0.05902581027519139,0.010002371411802463,0.24858416458402444,-0.0007313464564725272,-4.632481016949436e-06,2.115219683088143e-05,0.0007316669424718236,-0.0003232902739265546,-5.359152654883399e-06,0.0004751375876090398,none,False,False
10,0.18,0.06070730534826112,0.010007614874015454,0.24855976550993955,0.05980583895556639,0.010002371411802463,0.24858416458402444,-0.0009014663926947275,-5.243462212990366e-06,2.4399074084885397e-05,0.0009018117685361084,-0.0004224765934518531,-6.513464112471422e-06,0.0006009764721537476,none,False,False
11,0.19999999999999998,0.06182798874394748,0.010008068176674682,0.24855695910826806,0.060746826887191394,0.010002371411802463,0.24858416458402444,-0.0010811618567560868,-5.69676487221886e-06,2.7205475756381103e-05,0.0010815190943970474,-0.0005345591467655073,-7.637577052004923e-06,0.0007364741056219571,none,False,False
12,0.21999999999999997,0.06312441330378185,0.010008337055690961,0.2485546703313505,0.06185634848131639,0.010002371411802463,0.24858416458402444,-0.001268064822465463,-5.965643888498212e-06,2.9494252673928356e-05,0.0012684218122620582,-0.0006588309874404154,-8.703562832264213e-06,0.0008768417113496972,none,False,False
13,0.23999999999999996,0.06460013994042393,0.010008411132665622,0.24855294163322394,0.06314019209919139,0.010002371411802463,0.24858416458402444,-0.001459947841232545,-6.039720863158446e-06,3.122295080049131e-05,0.0014602941655722532,-0.0007944822934391419,-9.706617186206098e-06,0.0010165876062748066,none,False,False
14,0.25999999999999995,0.06625716592326034,0.010008297436016592,0.24855178707223302,0.06460243659706638,0.010002371411802463,0.24858416458402444,-0.0016547293261939544,-5.926024214128814e-06,3.2377511791414904e-05,0.0016550566648906883,-0.0009406268314274735,-1.0668014344199048e-05,0.0011505208601304908,none,False,False
15,0.27999999999999997,0.06809600003023819,0.010008018246637374,0.2485511983194561,0.0662455278711914,0.010002371411802463,0.24858416458402444,-0.0018504721590467954,-5.6468348349110464e-06,3.2966264568334847e-05,0.0018507743981238099,-0.0010963201132011835,-1.1635966458193412e-05,0.001273994695661727,none,False,False
16,0.3,0.07011573317403477,0.010007607976904101,0.24855115046940485,0.06807035540281639,0.010002371411802463,0.24858416458402444,-0.002045377771218382,-5.236565101637836e-06,3.3014114619589474e-05,0.002045650894060972,-0.001260567948325187,-1.2684047067888265e-05,0.0013830892341892705,none,False,False
17,0.32,0.07231410708389292,0.010007109390387531,0.2485516072615957,0.0700763288031914,0.010002371411802463,0.24858416458402444,-0.0022377782807015273,-4.737978585068331e-06,3.255732242873899e-05,0.0022380201208354418,-0.001432327254822707,-1.390732155090458e-05,0.0014747320577965445,none,False,False
18,0.34,0.07468758284926708,0.010006569533202673,0.24855252543883183,0.0722614543585664,0.010002371411802463,0.24858416458402444,-0.002426128490700674,-4.1981214002097256e-06,3.163914519260791e-05,0.0024263384168580733,-0.0016105015936256194,-1.5416521577821954e-05,0.0015467581228385803,none,False,False
19,0.36000000000000004,0.07723141047220783,0.010006035750105976,0.24855385809976835,0.0746224115751914,0.010002371411802463,0.24858416458402444,-0.0026089988970164346,-3.664338303512385e-06,3.0306484256087396e-05,0.0026091774862964266,-0.0017939341673803354,-1.7330779068391845e-05,0.0015979135933580724,none,False,False
20,0.38000000000000006,0.07993970000928394,0.010005552115734357,0.24855555703722104,0.07715462972431641,0.010002371411802463,0.24858416458402444,-0.0027850702849675224,-3.1807039318938746e-06,2.8607546803394168e-05,0.00278521902205566,-0.0019814009152424737,-1.976955036408344e-05,0.001627810602088011,none,False,False
21,0.4000000000000001,0.08280549441887686,0.010005156536830791,0.2485575741730569,0.07985236438719141,0.010002371411802463,0.24858416458402444,-0.002953130031685444,-2.785125028327909e-06,2.6590410967530786e-05,0.0029532510545023627,-0.0021716058919765617,-2.2844408158967396e-05,0.0016368416793570045,none,False,False
22,0.4200000000000001,0.085820843881527,0.010004878689376656,0.24855986228748272,0.08270877400006642,0.010002371411802463,0.24858416458402444,-0.00311206988146058,-2.507277574193348e-06,2.4302296541711677e-05,0.003112165778867203,-0.0023631804477091843,-2.665135895820006e-05,0.001626063598145367,none,False,False
23,0.4400000000000001,0.08897688114269212,0.010004738858430054,0.24856237528471592,0.08571599639919142,0.010002371411802463,0.24858416458402444,-0.003260884743500697,-2.367446627590461e-06,2.1789299308516696e-05,0.0032609584003423743,-0.0025546869578717767,-3.126426640064308e-05,0.0015970607122440732,none,False,False
24,0.46000000000000013,0.09226389733978577,0.010004747659325307,0.24856506823730873,0.08886522536581642,0.010002371411802463,0.24858416458402444,-0.0033986719739693416,-2.376247522844349e-06,1.9096346715707924e-05,0.0033987264531960847,-0.0027446271194142757,-3.672983758165686e-05,0.0015517976032871721,none,False,False
25,0.48000000000000015,0.0956714177995941,0.010004906544607131,0.24856789741348367,0.09214678717119143,0.010002371411802463,0.24858416458402444,-0.003524630628402664,-2.5351328046679944e-06,1.6267170540762432e-05,0.0035246690787093613,-0.0029314542311260038,-4.306447526467559e-05,0.0014924701144355824,none,False,False
26,0.5000000000000001,0.09918827740127928,0.010005208946597373,0.24857082042830944,0.09555021712156642,0.010002371411802463,0.24858416458402444,-0.0036380602797128625,-2.837534794910071e-06,1.334415571499492e-05,0.0036380858589263516,-0.003113588473962449,-5.025312879312853e-05,0.0014213627552144721,none,False,False
27,0.5200000000000001,0.10280269526054472,0.01000564187283444,0.24857379658544027,0.09906433610319143,0.010002371411802463,0.24858416458402444,-0.0037383591573532937,-3.2704610319761462e-06,1.0367998584170923e-05,0.003738374965232518,-0.0032894340190649145,-5.8250104796115985e-05,0.0013407191307925213,none,False,False
28,0.5400000000000001,0.1065023486619507,0.010006187759563726,0.24857678740611924,0.10267732712731643,0.010002371411802463,0.24858416458402444,-0.0038250215346342653,-3.816347761262731e-06,7.377177905193433e-06,0.0038250305525158817,-0.003457396801706184,-6.69816425594043e-05,0.0012526305836517628,none,False,False
29,0.5600000000000002,0.11027444632431245,0.010006826394930413,0.24857975728627812,0.10637681187519143,0.010002371411802463,0.24858416458402444,-0.003897634449121015,-4.454983127949799e-06,4.407297746311656e-06,0.003897639486936032,-0.0036159019633100354,-7.634992912697293e-05,0.0011589467294498294,none,False,False
30,0.5800000000000002,0.11410580120076216,0.010007536744519936,0.2485826741889662,0.11014992724306642,0.010002371411802463,0.24858416458402444,-0.003955873957695741,-5.165332717473048e-06,1.4903950582290104e-06,0.003955877610735054,-0.0037634102236617476,-8.623813648324498e-05,0.0010612100934489627,none,False,False
31,0.6000000000000002,0.11798290308384288,0.010008298542793777,0.2485855102683982,0.11398340188719144,0.010002371411802463,0.24858416458402444,-0.003999501196651434,-5.927130991314339e-06,-1.3456843737658097e-06,0.0039995058149432,-0.003898432745702004,-9.651601556938653e-05,0.0009606156715297918,none,False,False
32,0.6200000000000002,0.12189199130289574,0.01000909355121407,0.24858824233247184,0.11786363276881645,0.010002371411802463,0.24858416458402444,-0.0040283585340792905,-6.7221394116061955e-06,-4.077748447406382e-06,0.004028366206575579,-0.004019544342032125,-0.00010704557816170349,0.0008579949922016596,none,False,False
33,0.6400000000000002,0.125819127769844,0.010009906422986868,0.24859085207597068,0.12177676169919144,0.010002371411802463,0.24858416458402444,-0.004042366070652559,-7.535011184405319e-06,-6.687491946238966e-06,0.004042378625030699,-0.004125395111009008,-0.00011768643719534432,0.0007538231747785226,none,False,False
34,0.6600000000000003,0.12975027057401525,0.010010725152020762,0.24859332605063872,0.12570875188456646,0.010002371411802463,0.24858416458402444,-0.0040415186894487976,-8.353740218298988e-06,-9.16146661428252e-06,0.004041537706691611,-0.00421472076295169,-0.00012830045304806133,0.0006482465870277975,none,False,False
35,0.6800000000000003,0.13367134824553206,0.010011541118287486,0.24859565537409725,0.12964546447119146,0.010002371411802463,0.24858416458402444,-0.0040258837743405995,-9.169706485023105e-06,-1.1490790072815615e-05,0.0040259106157827735,-0.004286351993754356,-0.00013875543414736295,0.0005411280051909786,none,False,False
36,0.7000000000000003,0.13756833472578867,0.01001234877057001,0.2485978352100055,0.13357273509031645,0.010002371411802463,0.24858416458402444,-0.003995599635472219,-9.977358767546476e-06,-1.3670625981065943e-05,0.003995635478955559,-0.004339223294926566,-0.0001489277565553019,0.00043210567837388176,none,False,False
37,0.7200000000000003,0.14142732501031338,0.010013145010086745,0.24859986407452117,0.13747645040319145,0.010002371411802463,0.24858416458402444,-0.003950874607121929,-1.0773598284281871e-05,-1.569949049673447e-05,0.00395092048839542,-0.004372381567554118,-0.0001587038847829339,0.0003206623897400598,none,False,False
38,0.7400000000000003,0.1452346113717335,0.010013928353455374,0.24860174303642968,0.14134262464606645,0.010002371411802463,0.24858416458402444,-0.0038919867256670404,-1.1556941652911268e-05,-1.7578452405242473e-05,0.0038920435811611595,-0.004384994849432814,-0.000167980886183226,0.00020620048118553068,none,False,False
39,0.7600000000000003,0.1489767600324957,0.010014697961824692,0.2486034748795054,0.14515747617519148,0.010002371411802463,0.24858416458402444,-0.0038192838573042065,-1.2326550022229155e-05,-1.9310295480967632e-05,0.00381935256476952,-0.004376361384026584,-0.00017666612232833745,8.811885339021053e-05,none,False,False
40,0.7800000000000004,0.15264068813922443,0.010015452625089535,0.24860506328837556,0.1489075040118165,0.010002371411802463,0.24858416458402444,-0.003733184127407946,-1.3081213287071888e-05,-2.0898704351124398e-05,0.003733265541468386,-0.0043459191677706534,-0.0001846763662697498,-3.411184598417018e-05,none,False,False
41,0.8000000000000004,0.15621386857105712,0.010016319956067993,0.24860648740680158,0.15257956438719147,0.010002371411802463,0.24858416458402444,-0.00363430418386565,-1.3948544265529952e-05,-2.232282277714326e-05,0.0036343995062688463,-0.004293376336414538,-0.00019150782388324298,-0.0001363907704105913,none,False,False
42,0.8200000000000004,0.15968420531206112,0.010017132156659928,0.24860775037129745,0.15616094728756647,0.010002371411802463,0.24858416458402444,-0.0035232580244946576,-1.4760744857464717e-05,-2.358578727301719e-05,0.003523367888273382,-0.00421856953268062,-0.00019686626041295327,-0.000212506436432794,none,False,False
43,0.8400000000000004,0.16303998853301327,0.010017674864028787,0.248608890453122,0.15963945299919147,0.010002371411802463,0.24858416458402444,-0.0034005355338218024,-1.5303452226323594e-05,-2.4725869097574904e-05,0.0034006598596503894,-0.004121238420705658,-0.0002009424040976661,-0.0002947087794216538,none,False,False
44,0.8600000000000004,0.16627021431502753,0.010017992099512032,0.24860991534998172,0.1630034686533165,0.010002371411802463,0.24858416458402444,-0.0032667456617110346,-1.5620687709569023e-05,-2.5750765957288646e-05,0.0032668844984388066,-0.0040014578942060685,-0.00020391791675938286,-0.00038831614801036984,none,False,False
45,0.8800000000000004,0.1693646504841928,0.010018144450626572,0.2486108257924968,0.16624204477119148,0.010002371411802463,0.24858416458402444,-0.003122605713001325,-1.5773038824109034e-05,-2.666120847236164e-05,0.003122759364353819,-0.003859485818462075,-0.0002059549137797476,-0.000496323651043334,none,False,False
46,0.9000000000000005,0.17231390571657973,0.010018186765870258,0.24861161828544154,0.16934497180906646,0.010002371411802463,0.24858416458402444,-0.002968933907513266,-1.58153540677948e-05,-2.7453701417101684e-05,0.002969102958525988,-0.003695761997521406,-0.00020718864463795933,-0.0006201405832002684,none,False,False
47,0.9200000000000005,0.1751095044376131,0.01001816857557228,0.24861228727858836,0.17230285670319148,0.010002371411802463,0.24858416458402444,-0.00280664773442163,-1.5797163769816838e-05,-2.8122694563925688e-05,0.0028068330804425787,-0.0035109024492536536,-0.000207697265356101,-0.0007588805395649994,none,False,False
48,0.9400000000000005,0.17774395382074779,0.01001812208927906,0.2486128270538333,0.1751071994148165,0.010002371411802463,0.24858416458402444,-0.0026367544059312797,-1.575067747659753e-05,-2.8662469808871105e-05,0.0026369572272250705,-0.003305694681311572,-0.00020750637714487277,-0.0009097951967669847,none,False,False
49,0.9600000000000005,0.18021080835716932,0.010018053518564229,0.24861323263097196,0.17775046947519155,0.010002371411802463,0.24858416458402444,-0.002460338881977775,-1.5682106761765596e-05,-2.9068046947522408e-05,0.0024605605649927575,-0.0030810932326313044,-0.0002066140563480955,-0.00106928272514008,none,False,False
