label,control_mode,target_delta,rmse_norm_m,max_error_m,solver_fail_count,fallback_count,min_sigma_min,min_joint_margin_rad,singularity_active_count,joint_limit_active_count
singularity_off,cooperative,"[0.6, 0.0, 0.25]",0.004248498094547265,0.006486232514114178,0,0,0.0022183088941162095,1.5745102942466056,0,0
singularity_strict_svd,cooperative,"[0.6, 0.0, 0.25]",0.003989490335482909,0.006658671619515659,0,0,0.08003393351122731,1.8776323727169282,27,0
singularity_on,cooperative,"[0.6, 0.0, 0.25]",0.003889967783885856,0.005571918938142137,0,0,0.08031770338637122,1.8776323727169282,27,0
joint_limit_probe,cooperative,"[0.45, 0.0, 0.25]",0.0026751490684069116,0.004567070048663126,0,0,0.14294473155918086,1.7541539163261592,0,0
joint_limit_off,cooperative,"[0.45, 0.0, 0.25]",0.0026751490684069116,0.004567070048663126,0,0,0.14294473155918086,-0.43917930437057595,0,0
joint_limit_on,cooperative,"[0.45, 0.0, 0.25]",0.0030024726272988096,0.005090474426287086,0,0,0.14294473155918086,-0.005775298830015152,0,130
