mode_id,xy_resolution,psi_rad,psi_deg,scanned_grid_points,rank3_grid_points,closure_feasible_grid_points,feasible_grid_points,min_gamma_n,max_gamma_n,mean_gamma_n,max_closure_margin
1,201,-1.78024,-102,40401,40401,0,0,nan,nan,nan,nan
1,201,-1.74533,-100,40401,40401,0,0,nan,nan,nan,nan
1,201,-1.71042,-98,40401,40401,0,0,nan,nan,nan,nan
1,201,-1.67552,-96,40401,40401,0,0,nan,nan,nan,nan
1,201,-1.64061,-94,40401,40401,0,0,nan,nan,nan,nan
1,201,-1.6057,-92,40401,40401,0,0,nan,nan,nan,nan
1,201,-1.5708,-90,40401,40401,0,0,nan,nan,nan,nan
1,201,-1.53589,-88,40401,40401,0,0,nan,nan,nan,nan
1,201,-1.50098,-86,40401,40401,0,0,nan,nan,nan,nan
1,201,-1.46608,-84,40401,40401,0,0,nan,nan,nan,nan
1,201,-1.43117,-82,40401,40401,0,0,nan,nan,nan,nan
1,201,-1.39626,-80,40401,40401,0,0,nan,nan,nan,nan
1,201,-1.36136,-78,40401,40401,0,0,nan,nan,nan,nan
1,201,-1.32645,-76,40401,40401,0,0,nan,nan,nan,nan
1,201,-1.29154,-74,40401,40401,0,0,nan,nan,nan,nan
1,201,-1.25664,-72,40401,40401,0,0,nan,nan,nan,nan
1,201,-1.22173,-70,40401,40401,0,0,nan,nan,nan,nan
1,201,-1.18682,-68,40401,40401,0,0,nan,nan,nan,nan
1,201,-1.15192,-66,40401,40401,0,0,nan,nan,nan,nan
1,201,-1.11701,-64,40401,40401,0,0,nan,nan,nan,nan
1,201,-1.0821,-62,40401,40401,0,0,nan,nan,nan,nan
1,201,-1.0472,-60,40401,40401,0,0,nan,nan,nan,nan
1,201,-1.01229,-58,40401,40401,0,0,nan,nan,nan,nan
1,201,-0.977384,-56,40401,40401,0,0,nan,nan,nan,nan
1,201,-0.942478,-54,40401,40401,0,0,nan,nan,nan,nan
1,201,-0.907571,-52,40401,40401,0,0,nan,nan,nan,nan
1,201,-0.872665,-50,40401,40401,0,0,nan,nan,nan,nan
1,201,-0.837758,-48,40401,40401,0,0,nan,nan,nan,nan
1,201,-0.802851,-46,40401,40401,0,0,nan,nan,nan,nan
1,201,-0.767945,-44,40401,40401,0,0,nan,nan,nan,nan
