link,a_m,alpha_rad,d_m,theta_offset_rad,mass_kg,com_x_m,com_y_m,com_z_m,Ixx_kgm2,Iyy_kgm2,Izz_kgm2
1,0.0,1.5707963267948966,0.09,0.0,0.8,0.0,-0.01,0.045,0.00016,0.0006199999999999999,0.0006199999999999999
2,0.26,0.0,0.0,-1.5707963267948966,1.0,0.13,0.0,0.0,0.0002,0.005733333333333334,0.005733333333333334
3,0.2,0.0,0.0,0.0,0.8,0.1,0.0,0.0,0.00016,0.0027466666666666672,0.0027466666666666672
4,0.0,1.5707963267948966,0.08,0.0,0.4,0.0,0.0,0.04,8e-05,0.0002533333333333334,0.0002533333333333334
5,0.0,-1.5707963267948966,0.0,1.5707963267948966,0.3,0.0,0.0,0.0,6e-05,9.250000000000001e-05,9.250000000000001e-05
6,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.05,4e-05,0.0001866666666666667,0.0001866666666666667
