x_m,y_m,psi_rad,gamma_n,gamma_feasible,rank,sigma_min,rejection_reason,solver_status
-0.95,-0.342,0.785398,nan,0,3,0.234762,solver_infeasible,primal infeasible
-0.95,-0.3325,0.785398,nan,0,3,0.233614,solver_infeasible,primal infeasible
-0.95,-0.323,0.785398,nan,0,3,0.232492,solver_infeasible,primal infeasible
-0.95,-0.3135,0.785398,nan,0,3,0.231395,solver_infeasible,primal infeasible
-0.95,-0.304,0.785398,nan,0,3,0.230321,solver_infeasible,primal infeasible
-0.95,-0.2945,0.785398,nan,0,3,0.22927,solver_infeasible,primal infeasible
-0.95,-0.285,0.785398,nan,0,3,0.228238,solver_infeasible,primal infeasible
-0.95,-0.2755,0.785398,nan,0,3,0.227226,solver_infeasible,primal infeasible
-0.95,-0.266,0.785398,nan,0,3,0.226233,solver_infeasible,primal infeasible
-0.95,-0.2565,0.785398,nan,0,3,0.225257,solver_infeasible,primal infeasible
-0.95,-0.247,0.785398,nan,0,3,0.224298,solver_infeasible,primal infeasible
-0.95,-0.2375,0.785398,nan,0,3,0.223354,solver_infeasible,primal infeasible
-0.95,-0.228,0.785398,nan,0,3,0.222424,solver_infeasible,primal infeasible
-0.95,-0.2185,0.785398,nan,0,3,0.221509,solver_infeasible,primal infeasible
-0.95,-0.209,0.785398,nan,0,3,0.220606,solver_infeasible,primal infeasible
-0.95,-0.1995,0.785398,nan,0,3,0.219717,solver_infeasible,primal infeasible
-0.95,-0.19,0.785398,nan,0,3,0.218838,solver_infeasible,primal infeasible
-0.95,-0.1805,0.785398,nan,0,3,0.217971,solver_infeasible,primal infeasible
-0.95,-0.171,0.785398,nan,0,3,0.217114,solver_infeasible,primal infeasible
-0.95,-0.1615,0.785398,nan,0,3,0.216268,solver_infeasible,primal infeasible
-0.95,-0.152,0.785398,nan,0,3,0.21543,solver_infeasible,primal infeasible
-0.95,-0.1425,0.785398,nan,0,3,0.214601,solver_infeasible,primal infeasible
-0.95,-0.133,0.785398,nan,0,3,0.21378,solver_infeasible,primal infeasible
-0.95,-0.1235,0.785398,nan,0,3,0.212967,solver_infeasible,primal infeasible
-0.95,-0.114,0.785398,nan,0,3,0.21216,solver_infeasible,primal infeasible
-0.95,-0.1045,0.785398,nan,0,3,0.211361,solver_infeasible,primal infeasible
-0.95,-0.095,0.785398,nan,0,3,0.210568,solver_infeasible,primal infeasible
-0.95,-0.0855,0.785398,nan,0,3,0.20978,solver_infeasible,primal infeasible
-0.95,-0.076,0.785398,nan,0,3,0.208997,solver_infeasible,primal infeasible
-0.95,-0.0665,0.785398,nan,0,3,0.20822,solver_infeasible,primal infeasible
-0.95,-0.057,0.785398,nan,0,3,0.207446,solver_infeasible,primal infeasible
-0.95,-0.0475,0.785398,nan,0,3,0.206677,solver_infeasible,primal infeasible
-0.95,-0.038,0.785398,nan,0,3,0.205911,solver_infeasible,primal infeasible
-0.95,-0.0285,0.785398,nan,0,3,0.205147,solver_infeasible,primal infeasible
-0.95,-0.019,0.785398,nan,0,3,0.204387,solver_infeasible,primal infeasible
-0.95,-0.0095,0.785398,nan,0,3,0.203629,solver_infeasible,primal infeasible
-0.95,0,0.785398,nan,0,3,0.202872,solver_infeasible,primal infeasible
-0.95,0.0095,0.785398,nan,0,3,0.202117,solver_infeasible,primal infeasible
-0.95,0.019,0.785398,nan,0,3,0.201363,solver_infeasible,primal infeasible
-0.95,0.0285,0.785398,nan,0,3,0.200609,solver_infeasible,primal infeasible
-0.95,0.038,0.785398,nan,0,3,0.199856,solver_infeasible,primal infeasible
-0.95,0.0475,0.785398,nan,0,3,0.199102,solver_infeasible,primal infeasible
-0.95,0.057,0.785398,nan,0,3,0.198347,solver_infeasible,primal infeasible
-0.95,0.0665,0.785398,nan,0,3,0.197591,solver_infeasible,primal infeasible
-0.95,0.076,0.785398,nan,0,3,0.196833,solver_infeasible,primal infeasible
-0.95,0.0855,0.785398,nan,0,3,0.196073,solver_infeasible,primal infeasible
-0.95,0.095,0.785398,nan,0,3,0.195311,solver_infeasible,primal infeasible
-0.95,0.1045,0.785398,nan,0,3,0.194546,solver_infeasible,primal infeasible
-0.95,0.114,0.785398,nan,0,3,0.193777,solver_infeasible,primal infeasible
-0.95,0.1235,0.785398,nan,0,3,0.193004,solver_infeasible,primal infeasible
-0.95,0.133,0.785398,nan,0,3,0.192226,solver_infeasible,primal infeasible
-0.95,0.1425,0.785398,nan,0,3,0.191443,solver_infeasible,primal infeasible
-0.95,0.152,0.785398,nan,0,3,0.190655,solver_infeasible,primal infeasible
-0.95,0.1615,0.785398,nan,0,3,0.189861,solver_infeasible,primal infeasible
-0.95,0.171,0.785398,nan,0,3,0.18906,solver_infeasible,primal infeasible
-0.95,0.1805,0.785398,nan,0,3,0.188252,solver_infeasible,primal infeasible
-0.95,0.19,0.785398,nan,0,3,0.187436,solver_infeasible,primal infeasible
-0.95,0.1995,0.785398,nan,0,3,0.186611,solver_infeasible,primal infeasible
-0.95,0.209,0.785398,nan,0,3,0.185778,solver_infeasible,primal infeasible
-0.95,0.2185,0.785398,nan,0,3,0.184934,solver_infeasible,primal infeasible
-0.95,0.228,0.785398,nan,0,3,0.184081,solver_infeasible,primal infeasible
-0.95,0.2375,0.785398,nan,0,3,0.183216,solver_infeasible,primal infeasible
-0.95,0.247,0.785398,nan,0,3,0.182339,solver_infeasible,primal infeasible
-0.95,0.2565,0.785398,nan,0,3,0.181449,solver_infeasible,primal infeasible
-0.95,0.266,0.785398,nan,0,3,0.180546,solver_infeasible,primal infeasible
-0.95,0.2755,0.785398,nan,0,3,0.179629,solver_infeasible,primal infeasible
-0.95,0.285,0.785398,nan,0,3,0.178697,solver_infeasible,primal infeasible
-0.95,0.2945,0.785398,nan,0,3,0.177749,solver_infeasible,primal infeasible
-0.95,0.304,0.785398,nan,0,3,0.176783,solver_infeasible,primal infeasible
-0.95,0.3135,0.785398,nan,0,3,0.1758,solver_infeasible,primal infeasible
-0.95,0.323,0.785398,nan,0,3,0.174798,solver_infeasible,primal infeasible
-0.95,0.3325,0.785398,nan,0,3,0.173775,solver_infeasible,primal infeasible
-0.95,0.342,0.785398,nan,0,3,0.172732,solver_infeasible,primal infeasible
-0.95,0.3515,0.785398,nan,0,3,0.171666,solver_infeasible,primal infeasible
-0.95,0.361,0.785398,nan,0,3,0.170576,solver_infeasible,primal infeasible
-0.95,0.3705,0.785398,nan,0,3,0.169462,solver_infeasible,primal infeasible
-0.95,0.38,0.785398,nan,0,3,0.168321,solver_infeasible,primal infeasible
-0.95,0.3895,0.785398,nan,0,3,0.167152,solver_infeasible,primal infeasible
-0.95,0.399,0.785398,nan,0,3,0.165954,solver_infeasible,primal infeasible
-0.95,0.4085,0.785398,nan,0,3,0.164725,solver_infeasible,primal infeasible
-0.95,0.418,0.785398,nan,0,3,0.163464,solver_infeasible,primal infeasible
-0.95,0.4275,0.785398,nan,0,3,0.162168,solver_infeasible,primal infeasible
-0.95,0.437,0.785398,nan,0,3,0.160836,solver_infeasible,primal infeasible
-0.95,0.4465,0.785398,nan,0,3,0.159466,solver_infeasible,primal infeasible
-0.95,0.456,0.785398,nan,0,3,0.158056,solver_infeasible,primal infeasible
-0.95,0.4655,0.785398,nan,0,3,0.156602,solver_infeasible,primal infeasible
-0.95,0.475,0.785398,nan,0,3,0.155104,solver_infeasible,primal infeasible
-0.95,0.4845,0.785398,nan,0,3,0.153558,solver_infeasible,primal infeasible
-0.95,0.494,0.785398,nan,0,3,0.151963,solver_infeasible,primal infeasible
-0.95,0.5035,0.785398,nan,0,3,0.150314,solver_infeasible,primal infeasible
-0.95,0.513,0.785398,nan,0,3,0.148608,solver_infeasible,primal infeasible
-0.95,0.5225,0.785398,nan,0,3,0.146844,solver_infeasible,primal infeasible
-0.95,0.532,0.785398,nan,0,3,0.145017,solver_infeasible,primal infeasible
-0.95,0.5415,0.785398,nan,0,3,0.143124,solver_infeasible,primal infeasible
-0.95,0.551,0.785398,nan,0,3,0.14116,solver_infeasible,primal infeasible
-0.95,0.5605,0.785398,nan,0,3,0.139121,solver_infeasible,primal infeasible
-0.95,0.57,0.785398,nan,0,3,0.137004,solver_infeasible,primal infeasible
-0.95,0.5795,0.785398,nan,0,3,0.134803,solver_infeasible,primal infeasible
-0.95,0.589,0.785398,nan,0,3,0.132513,solver_infeasible,primal infeasible
-0.95,0.5985,0.785398,nan,0,3,0.130129,solver_infeasible,primal infeasible
-0.95,0.608,0.785398,nan,0,3,0.127644,solver_infeasible,primal infeasible
-0.95,0.6175,0.785398,nan,0,3,0.125053,solver_infeasible,primal infeasible
-0.95,0.627,0.785398,nan,0,3,0.122348,solver_infeasible,primal infeasible
-0.95,0.6365,0.785398,nan,0,3,0.119523,solver_infeasible,primal infeasible
-0.95,0.646,0.785398,nan,0,3,0.116569,solver_infeasible,primal infeasible
-0.95,0.6555,0.785398,nan,0,3,0.113477,solver_infeasible,primal infeasible
-0.95,0.665,0.785398,nan,0,3,0.11024,solver_infeasible,primal infeasible
-0.95,0.6745,0.785398,nan,0,3,0.106847,solver_infeasible,primal infeasible
-0.95,0.684,0.785398,nan,0,3,0.103287,solver_infeasible,primal infeasible
-0.95,0.6935,0.785398,nan,0,3,0.0995484,solver_infeasible,primal infeasible
-0.95,0.703,0.785398,nan,0,3,0.0956197,solver_infeasible,primal infeasible
-0.95,0.7125,0.785398,nan,0,3,0.0914874,solver_infeasible,primal infeasible
-0.95,0.722,0.785398,nan,0,3,0.0871371,solver_infeasible,primal infeasible
-0.95,0.7315,0.785398,nan,0,3,0.0825532,solver_infeasible,primal infeasible
-0.95,0.741,0.785398,nan,0,3,0.0777193,solver_infeasible,primal infeasible
-0.95,0.7505,0.785398,nan,0,3,0.0726174,solver_infeasible,primal infeasible
-0.95,0.76,0.785398,nan,0,3,0.0672284,solver_infeasible,primal infeasible
-0.95,0.7695,0.785398,nan,0,3,0.0615317,solver_infeasible,primal infeasible
-0.95,0.779,0.785398,nan,0,3,0.0555053,solver_infeasible,primal infeasible
-0.95,0.7885,0.785398,nan,0,3,0.0491259,solver_infeasible,primal infeasible
-0.95,0.798,0.785398,nan,0,3,0.0423686,solver_infeasible,primal infeasible
-0.95,0.8075,0.785398,nan,0,3,0.0352074,solver_infeasible,primal infeasible
-0.95,0.817,0.785398,nan,0,3,0.027615,solver_infeasible,primal infeasible
-0.95,0.8265,0.785398,nan,0,3,0.019563,solver_infeasible,primal infeasible
-0.95,0.836,0.785398,nan,0,3,0.0110223,solver_infeasible,primal infeasible
-0.95,0.8455,0.785398,nan,0,3,0.00196385,solver_infeasible,primal infeasible
-0.95,0.855,0.785398,nan,0,3,0.00764135,solver_infeasible,primal infeasible
-0.95,0.8645,0.785398,nan,0,3,0.0178209,solver_infeasible,primal infeasible
-0.95,0.874,0.785398,nan,0,3,0.0286002,solver_infeasible,primal infeasible
-0.95,0.8835,0.785398,nan,0,3,0.0400009,solver_infeasible,primal infeasible
-0.95,0.893,0.785398,nan,0,3,0.0520394,solver_infeasible,primal infeasible
-0.95,0.9025,0.785398,nan,0,3,0.064725,solver_infeasible,primal infeasible
-0.95,0.912,0.785398,nan,0,3,0.078057,solver_infeasible,primal infeasible
-0.95,0.9215,0.785398,nan,0,3,0.0920229,solver_infeasible,primal infeasible
-0.95,0.931,0.785398,nan,0,3,0.106595,solver_infeasible,primal infeasible
-0.95,0.9405,0.785398,nan,0,3,0.121729,solver_infeasible,primal infeasible
-0.95,0.95,0.785398,nan,0,3,0.137359,solver_infeasible,primal infeasible
-0.9405,-0.95,0.785398,nan,0,3,0.121729,solver_infeasible,primal infeasible
-0.9405,-0.9405,0.785398,nan,0,3,0.114658,solver_infeasible,primal infeasible
-0.9405,-0.931,0.785398,nan,0,3,0.106818,solver_infeasible,primal infeasible
-0.9405,-0.9215,0.785398,nan,0,3,0.0980772,solver_infeasible,primal infeasible
-0.9405,-0.912,0.785398,nan,0,3,0.0882766,solver_infeasible,primal infeasible
-0.9405,-0.9025,0.785398,nan,0,3,0.0772198,solver_infeasible,primal infeasible
-0.9405,-0.893,0.785398,nan,0,3,0.0646668,solver_infeasible,primal infeasible
-0.9405,-0.8835,0.785398,nan,0,3,0.0503233,solver_infeasible,primal infeasible
-0.9405,-0.874,0.785398,nan,0,3,0.0338302,solver_infeasible,primal infeasible
