y_m,z_m,hit_count
-0.66,0.67,1
-0.66,0.68,1
-0.66,0.69,1
-0.66,0.7,3
-0.66,0.71,2
-0.66,0.72,4
-0.66,0.73,1
-0.66,0.74,4
-0.66,0.75,4
-0.66,0.76,1
-0.66,0.77,4
-0.66,0.78,2
-0.66,0.79,1
-0.66,0.8,1
-0.66,0.81,3
-0.66,0.82,4
-0.66,0.83,5
-0.66,0.84,3
-0.66,0.85,3
-0.66,0.86,2
-0.66,0.87,5
-0.66,0.88,1
-0.66,0.89,3
-0.66,0.9,2
-0.66,0.91,1
-0.66,0.92,5
-0.66,0.93,2
-0.66,0.94,2
-0.66,0.96,2
-0.66,0.97,1
-0.66,0.98,3
-0.66,0.99,3
-0.66,1.01,5
-0.66,1.03,4
-0.66,1.04,1
-0.66,1.05,1
-0.66,1.06,4
-0.66,1.07,3
-0.66,1.08,1
-0.66,1.09,1
-0.66,1.1,5
-0.66,1.11,1
-0.66,1.12,2
-0.66,1.13,6
-0.66,1.14,2
-0.66,1.15,2
-0.66,1.18,2
-0.66,1.19,1
-0.66,1.2,1
-0.66,1.21,3
-0.66,1.23,1
-0.66,1.24,2
-0.65,0.54,1
-0.65,0.55,2
-0.65,0.58,1
-0.65,0.59,1
-0.65,0.61,1
-0.65,0.62,1
-0.65,0.63,1
-0.65,0.64,2
-0.65,0.65,3
-0.65,0.66,3
-0.65,0.67,1
-0.65,0.68,1
-0.65,0.69,2
-0.65,0.7,2
-0.65,0.71,1
-0.65,0.72,4
-0.65,0.73,3
-0.65,0.74,8
-0.65,0.75,2
-0.65,0.76,2
-0.65,0.77,1
-0.65,0.78,3
-0.65,0.79,2
-0.65,0.8,2
-0.65,0.81,6
-0.65,0.82,3
-0.65,0.83,5
-0.65,0.84,5
-0.65,0.85,4
-0.65,0.86,3
-0.65,0.87,3
-0.65,0.88,3
-0.65,0.89,4
-0.65,0.9,3
-0.65,0.91,1
-0.65,0.92,5
-0.65,0.93,4
-0.65,0.94,4
-0.65,0.95,7
-0.65,0.97,2
-0.65,0.98,2
-0.65,0.99,1
-0.65,1,1
-0.65,1.01,5
-0.65,1.02,1
-0.65,1.03,3
-0.65,1.04,2
-0.65,1.05,1
-0.65,1.06,3
-0.65,1.07,2
-0.65,1.08,2
-0.65,1.09,2
-0.65,1.1,1
-0.65,1.11,3
-0.65,1.12,1
-0.65,1.13,1
-0.65,1.14,4
-0.65,1.15,2
-0.65,1.16,3
-0.65,1.17,5
-0.65,1.19,2
-0.65,1.2,2
-0.65,1.21,1
-0.65,1.23,3
-0.65,1.24,2
-0.65,1.25,1
-0.65,1.26,1
-0.65,1.27,2
-0.64,0.53,1
-0.64,0.54,1
-0.64,0.56,2
-0.64,0.57,1
-0.64,0.59,1
-0.64,0.6,3
-0.64,0.61,1
-0.64,0.62,1
-0.64,0.63,3
-0.64,0.64,3
-0.64,0.65,2
-0.64,0.66,2
-0.64,0.67,4
-0.64,0.68,3
-0.64,0.69,4
-0.64,0.7,3
-0.64,0.71,1
-0.64,0.72,1
-0.64,0.73,1
-0.64,0.74,2
-0.64,0.75,2
-0.64,0.76,2
-0.64,0.77,3
-0.64,0.78,3
-0.64,0.79,8
-0.64,0.8,3
-0.64,0.81,4
-0.64,0.82,2
-0.64,0.83,3
-0.64,0.84,2
-0.64,0.85,4
-0.64,0.86,3
-0.64,0.87,4
-0.64,0.88,4
-0.64,0.89,3
-0.64,0.9,6
-0.64,0.91,3
-0.64,0.92,6
-0.64,0.93,2
-0.64,0.94,5
-0.64,0.95,5
-0.64,0.96,7
-0.64,0.97,3
-0.64,0.98,1
-0.64,0.99,2
-0.64,1,6
-0.64,1.01,1
-0.64,1.02,4
-0.64,1.03,3
-0.64,1.04,4
-0.64,1.05,1
-0.64,1.06,3
-0.64,1.07,2
-0.64,1.08,4
-0.64,1.09,3
-0.64,1.1,3
-0.64,1.11,3
-0.64,1.12,4
-0.64,1.13,2
-0.64,1.14,2
-0.64,1.15,4
-0.64,1.16,4
-0.64,1.17,3
-0.64,1.18,1
-0.64,1.19,2
-0.64,1.2,3
-0.64,1.21,2
-0.64,1.22,3
-0.64,1.24,1
-0.64,1.25,1
-0.64,1.29,1
-0.63,0.51,2
-0.63,0.52,2
-0.63,0.54,2
-0.63,0.55,3
-0.63,0.56,2
-0.63,0.57,1
-0.63,0.58,2
-0.63,0.6,3
-0.63,0.61,3
-0.63,0.62,2
-0.63,0.63,2
-0.63,0.64,2
-0.63,0.65,3
-0.63,0.66,1
-0.63,0.67,1
-0.63,0.68,4
-0.63,0.69,1
-0.63,0.7,2
-0.63,0.71,1
-0.63,0.72,1
-0.63,0.73,4
-0.63,0.74,1
-0.63,0.75,5
-0.63,0.76,4
-0.63,0.77,6
-0.63,0.78,3
-0.63,0.79,2
-0.63,0.8,2
-0.63,0.81,1
-0.63,0.82,4
-0.63,0.83,2
-0.63,0.84,4
-0.63,0.85,3
-0.63,0.86,5
-0.63,0.87,2
-0.63,0.88,3
-0.63,0.89,4
-0.63,0.9,4
-0.63,0.91,6
-0.63,0.92,4
-0.63,0.93,1
-0.63,0.94,2
-0.63,0.95,4
-0.63,0.96,1
-0.63,0.97,4
-0.63,0.98,1
-0.63,0.99,2
-0.63,1,1
-0.63,1.01,2
-0.63,1.02,3
-0.63,1.03,4
-0.63,1.04,2
-0.63,1.05,3
-0.63,1.06,6
-0.63,1.07,2
-0.63,1.08,5
-0.63,1.09,4
-0.63,1.1,2
-0.63,1.11,3
-0.63,1.12,3
-0.63,1.13,2
-0.63,1.14,4
-0.63,1.15,6
-0.63,1.16,5
-0.63,1.17,3
-0.63,1.18,1
-0.63,1.19,1
-0.63,1.2,5
-0.63,1.21,3
-0.63,1.23,1
-0.63,1.26,1
-0.63,1.27,2
-0.63,1.29,4
-0.63,1.31,1
-0.62,0.52,1
-0.62,0.53,1
-0.62,0.56,1
-0.62,0.57,2
-0.62,0.58,2
-0.62,0.59,5
-0.62,0.6,4
-0.62,0.61,4
-0.62,0.62,1
-0.62,0.63,4
-0.62,0.64,2
-0.62,0.65,2
-0.62,0.66,3
-0.62,0.67,8
-0.62,0.68,5
-0.62,0.69,4
-0.62,0.7,2
-0.62,0.71,4
-0.62,0.72,4
-0.62,0.73,6
-0.62,0.74,2
-0.62,0.75,4
-0.62,0.76,3
-0.62,0.77,4
-0.62,0.78,3
-0.62,0.79,4
-0.62,0.8,6
-0.62,0.81,2
-0.62,0.82,5
-0.62,0.83,6
-0.62,0.84,2
-0.62,0.85,3
-0.62,0.86,4
-0.62,0.87,3
-0.62,0.88,3
-0.62,0.89,2
-0.62,0.9,4
-0.62,0.91,3
-0.62,0.92,4
-0.62,0.93,3
-0.62,0.94,3
-0.62,0.95,2
-0.62,0.96,4
-0.62,0.97,7
-0.62,0.98,3
-0.62,0.99,5
-0.62,1,5
-0.62,1.01,7
-0.62,1.02,4
-0.62,1.03,4
-0.62,1.04,5
-0.62,1.05,6
-0.62,1.06,4
-0.62,1.07,2
-0.62,1.08,3
-0.62,1.09,4
-0.62,1.1,4
-0.62,1.11,2
-0.62,1.12,4
-0.62,1.13,3
-0.62,1.14,4
-0.62,1.15,2
-0.62,1.16,4
-0.62,1.17,2
-0.62,1.18,4
-0.62,1.19,4
-0.62,1.2,2
-0.62,1.21,2
-0.62,1.22,5
-0.62,1.23,2
-0.62,1.24,3
-0.62,1.25,2
-0.62,1.26,3
-0.62,1.27,3
-0.62,1.28,1
-0.62,1.3,1
-0.61,0.48,1
-0.61,0.49,2
-0.61,0.5,1
-0.61,0.52,1
-0.61,0.53,1
-0.61,0.54,3
-0.61,0.55,3
-0.61,0.56,5
-0.61,0.58,2
-0.61,0.59,3
-0.61,0.61,4
-0.61,0.62,2
-0.61,0.63,2
-0.61,0.64,2
-0.61,0.65,2
-0.61,0.66,2
-0.61,0.67,2
-0.61,0.68,7
-0.61,0.69,4
-0.61,0.7,2
-0.61,0.71,1
-0.61,0.72,2
-0.61,0.73,9
-0.61,0.74,3
-0.61,0.75,4
-0.61,0.76,2
-0.61,0.77,5
-0.61,0.78,5
-0.61,0.79,9
-0.61,0.8,6
-0.61,0.81,5
-0.61,0.82,6
-0.61,0.83,2
-0.61,0.84,2
-0.61,0.85,2
-0.61,0.86,4
-0.61,0.87,4
-0.61,0.88,1
-0.61,0.89,1
-0.61,0.9,3
-0.61,0.91,2
-0.61,0.92,4
-0.61,0.93,4
-0.61,0.94,4
-0.61,0.95,5
-0.61,0.96,8
-0.61,0.97,2
-0.61,0.98,5
-0.61,0.99,4
-0.61,1,3
-0.61,1.01,4
-0.61,1.02,4
-0.61,1.03,3
-0.61,1.04,2
-0.61,1.05,3
-0.61,1.06,10
-0.61,1.07,3
-0.61,1.08,4
-0.61,1.09,5
-0.61,1.1,5
-0.61,1.11,3
-0.61,1.12,3
-0.61,1.13,4
-0.61,1.14,2
-0.61,1.15,6
-0.61,1.16,4
-0.61,1.17,3
-0.61,1.18,4
-0.61,1.19,3
-0.61,1.2,1
-0.61,1.21,3
-0.61,1.22,2
-0.61,1.23,1
-0.61,1.24,5
-0.61,1.25,2
-0.61,1.26,3
-0.61,1.27,2
-0.61,1.28,1
-0.61,1.29,2
-0.61,1.3,2
-0.61,1.31,1
-0.61,1.32,3
-0.61,1.33,1
-0.6,0.47,2
-0.6,0.48,3
-0.6,0.49,1
-0.6,0.5,3
-0.6,0.51,1
-0.6,0.52,1
-0.6,0.53,2
-0.6,0.54,3
-0.6,0.55,5
-0.6,0.56,1
-0.6,0.57,4
-0.6,0.58,2
-0.6,0.59,2
-0.6,0.61,4
-0.6,0.62,3
-0.6,0.63,4
-0.6,0.64,4
-0.6,0.65,2
-0.6,0.66,3
-0.6,0.67,4
-0.6,0.68,4
-0.6,0.69,2
-0.6,0.7,4
-0.6,0.71,2
-0.6,0.72,4
-0.6,0.73,5
-0.6,0.75,3
-0.6,0.76,4
-0.6,0.77,3
-0.6,0.78,7
-0.6,0.79,2
-0.6,0.8,2
-0.6,0.81,5
-0.6,0.82,4
-0.6,0.83,5
-0.6,0.84,3
-0.6,0.85,10
-0.6,0.86,3
-0.6,0.87,3
-0.6,0.88,5
-0.6,0.89,6
-0.6,0.9,4
-0.6,0.91,6
-0.6,0.92,4
-0.6,0.93,5
-0.6,0.94,4
-0.6,0.95,1
-0.6,0.96,5
-0.6,0.97,4
-0.6,0.98,2
-0.6,0.99,7
-0.6,1,3
-0.6,1.01,3
-0.6,1.02,2
-0.6,1.03,3
-0.6,1.04,6
-0.6,1.05,3
-0.6,1.06,6
-0.6,1.07,3
-0.6,1.08,1
-0.6,1.09,7
-0.6,1.1,3
-0.6,1.11,3
-0.6,1.12,2
-0.6,1.13,3
-0.6,1.14,6
-0.6,1.15,1
-0.6,1.16,1
-0.6,1.17,3
-0.6,1.19,3
-0.6,1.2,3
-0.6,1.21,1
-0.6,1.22,2
-0.6,1.23,1
-0.6,1.24,3
-0.6,1.25,2
-0.6,1.26,1
-0.6,1.27,3
-0.6,1.28,2
-0.6,1.29,1
-0.6,1.3,2
-0.6,1.31,3
-0.6,1.32,1
-0.6,1.33,1
-0.6,1.35,2
-0.59,0.45,1
-0.59,0.46,2
-0.59,0.47,1
-0.59,0.48,2
-0.59,0.5,4
-0.59,0.51,1
-0.59,0.52,3
-0.59,0.53,1
-0.59,0.54,2
-0.59,0.55,1
-0.59,0.56,3
-0.59,0.58,4
-0.59,0.59,3
-0.59,0.6,4
-0.59,0.61,2
-0.59,0.62,3
-0.59,0.63,2
-0.59,0.64,2
-0.59,0.65,4
-0.59,0.66,2
-0.59,0.67,2
-0.59,0.68,5
-0.59,0.69,1
-0.59,0.7,3
-0.59,0.71,1
-0.59,0.72,5
-0.59,0.73,3
-0.59,0.74,5
-0.59,0.75,1
-0.59,0.76,3
-0.59,0.77,4
-0.59,0.78,10
-0.59,0.79,3
-0.59,0.8,7
-0.59,0.81,4
-0.59,0.82,2
-0.59,0.83,3
-0.59,0.84,5
-0.59,0.85,6
-0.59,0.86,4
-0.59,0.87,3
-0.59,0.88,4
-0.59,0.89,5
-0.59,0.9,3
-0.59,0.91,6
-0.59,0.92,3
-0.59,0.93,5
-0.59,0.94,6
-0.59,0.95,6
-0.59,0.96,4
-0.59,0.97,4
-0.59,0.98,4
-0.59,0.99,7
-0.59,1,3
-0.59,1.01,7
-0.59,1.02,4
-0.59,1.03,3
-0.59,1.04,4
-0.59,1.05,6
-0.59,1.06,5
-0.59,1.07,9
-0.59,1.08,1
-0.59,1.09,2
-0.59,1.1,7
-0.59,1.11,7
-0.59,1.12,5
-0.59,1.13,1
-0.59,1.14,3
-0.59,1.15,7
-0.59,1.16,10
-0.59,1.17,4
-0.59,1.18,8
-0.59,1.19,5
-0.59,1.2,3
-0.59,1.21,4
-0.59,1.22,2
-0.59,1.23,3
-0.59,1.24,4
-0.59,1.25,1
-0.59,1.26,2
-0.59,1.28,3
-0.59,1.29,5
-0.59,1.3,2
-0.59,1.31,2
-0.59,1.33,2
-0.59,1.34,2
-0.59,1.35,1
-0.58,0.44,1
-0.58,0.45,1
-0.58,0.47,1
-0.58,0.48,1
-0.58,0.49,5
-0.58,0.51,2
-0.58,0.53,4
-0.58,0.54,1
-0.58,0.55,2
-0.58,0.56,5
-0.58,0.57,6
-0.58,0.58,5
-0.58,0.59,2
-0.58,0.6,4
-0.58,0.61,1
-0.58,0.62,5
-0.58,0.63,2
-0.58,0.64,2
-0.58,0.65,6
-0.58,0.66,6
-0.58,0.67,9
-0.58,0.68,4
-0.58,0.69,2
-0.58,0.7,3
-0.58,0.71,8
-0.58,0.72,5
-0.58,0.73,2
-0.58,0.74,4
-0.58,0.75,2
-0.58,0.76,4
-0.58,0.77,9
-0.58,0.78,2
-0.58,0.79,3
-0.58,0.8,2
-0.58,0.81,5
-0.58,0.82,7
-0.58,0.83,4
-0.58,0.84,8
-0.58,0.85,5
-0.58,0.86,7
-0.58,0.87,4
-0.58,0.88,1
-0.58,0.89,7
-0.58,0.9,4
-0.58,0.91,4
-0.58,0.92,6
-0.58,0.93,6
-0.58,0.94,3
-0.58,0.95,1
-0.58,0.96,6
-0.58,0.97,3
-0.58,0.98,7
-0.58,0.99,6
-0.58,1,3
-0.58,1.01,5
-0.58,1.02,8
-0.58,1.03,7
-0.58,1.04,7
-0.58,1.05,3
-0.58,1.06,2
-0.58,1.07,6
-0.58,1.08,2
-0.58,1.09,5
-0.58,1.1,3
-0.58,1.11,4
-0.58,1.12,2
-0.58,1.13,3
-0.58,1.14,5
-0.58,1.15,2
-0.58,1.16,4
-0.58,1.17,2
-0.58,1.18,3
-0.58,1.19,3
-0.58,1.2,4
-0.58,1.21,3
-0.58,1.22,2
-0.58,1.23,5
-0.58,1.24,9
-0.58,1.25,3
-0.58,1.26,3
-0.58,1.27,3
-0.58,1.28,3
-0.58,1.29,1
-0.58,1.3,3
-0.58,1.31,2
-0.58,1.33,2
-0.58,1.34,3
-0.58,1.35,4
-0.58,1.36,2
-0.57,0.43,1
-0.57,0.44,1
-0.57,0.45,1
-0.57,0.46,3
-0.57,0.47,1
-0.57,0.48,2
-0.57,0.5,5
-0.57,0.51,2
-0.57,0.52,5
-0.57,0.53,1
-0.57,0.54,3
-0.57,0.55,1
-0.57,0.56,2
-0.57,0.57,2
-0.57,0.58,5
-0.57,0.59,1
-0.57,0.6,6
-0.57,0.61,3
-0.57,0.62,4
-0.57,0.63,5
-0.57,0.64,3
-0.57,0.65,5
-0.57,0.66,3
-0.57,0.67,4
-0.57,0.68,8
-0.57,0.69,1
-0.57,0.7,4
-0.57,0.71,4
-0.57,0.72,4
-0.57,0.73,6
-0.57,0.74,2
-0.57,0.75,6
-0.57,0.76,8
-0.57,0.77,12
-0.57,0.78,2
-0.57,0.79,4
-0.57,0.8,6
-0.57,0.81,5
-0.57,0.82,5
-0.57,0.83,5
-0.57,0.84,7
-0.57,0.85,5
-0.57,0.86,8
-0.57,0.87,5
-0.57,0.88,5
-0.57,0.89,2
-0.57,0.9,4
-0.57,0.91,5
-0.57,0.92,4
-0.57,0.93,5
-0.57,0.94,1
-0.57,0.95,7
-0.57,0.96,5
-0.57,0.97,3
-0.57,0.98,7
-0.57,0.99,7
-0.57,1,4
-0.57,1.01,3
-0.57,1.02,6
-0.57,1.03,2
-0.57,1.04,6
-0.57,1.05,6
-0.57,1.06,7
-0.57,1.07,4
-0.57,1.08,5
-0.57,1.09,2
-0.57,1.1,5
-0.57,1.11,5
-0.57,1.12,4
-0.57,1.13,6
-0.57,1.14,3
-0.57,1.15,2
-0.57,1.16,6
-0.57,1.17,4
-0.57,1.18,2
-0.57,1.19,2
-0.57,1.2,7
-0.57,1.21,1
-0.57,1.22,5
-0.57,1.23,1
-0.57,1.24,1
-0.57,1.25,1
-0.57,1.26,1
-0.57,1.27,4
-0.57,1.28,4
-0.57,1.29,1
-0.57,1.3,3
-0.57,1.31,3
-0.57,1.32,4
-0.57,1.33,2
-0.57,1.34,2
-0.57,1.36,1
-0.57,1.38,2
-0.56,0.44,1
-0.56,0.46,2
-0.56,0.47,1
-0.56,0.48,4
-0.56,0.49,2
-0.56,0.5,2
-0.56,0.52,1
-0.56,0.53,4
-0.56,0.54,2
-0.56,0.55,1
-0.56,0.56,3
-0.56,0.57,8
-0.56,0.58,2
-0.56,0.59,6
-0.56,0.6,2
-0.56,0.61,6
-0.56,0.62,2
-0.56,0.63,5
-0.56,0.64,4
-0.56,0.65,1
-0.56,0.66,6
-0.56,0.67,3
-0.56,0.68,5
-0.56,0.69,5
-0.56,0.7,5
-0.56,0.71,4
-0.56,0.72,4
-0.56,0.73,1
-0.56,0.74,6
-0.56,0.75,2
-0.56,0.76,4
-0.56,0.77,7
-0.56,0.78,4
-0.56,0.79,7
-0.56,0.8,8
-0.56,0.81,4
-0.56,0.82,2
-0.56,0.83,5
-0.56,0.84,3
-0.56,0.85,7
-0.56,0.86,3
-0.56,0.87,11
-0.56,0.88,4
-0.56,0.89,5
-0.56,0.9,5
-0.56,0.91,8
-0.56,0.92,3
-0.56,0.93,7
-0.56,0.94,3
-0.56,0.95,6
-0.56,0.96,3
-0.56,0.97,3
-0.56,0.98,10
-0.56,0.99,5
-0.56,1,8
-0.56,1.01,8
-0.56,1.02,4
-0.56,1.03,4
-0.56,1.04,7
-0.56,1.05,3
-0.56,1.06,6
-0.56,1.07,3
-0.56,1.08,6
-0.56,1.09,4
-0.56,1.1,4
-0.56,1.11,6
-0.56,1.12,7
-0.56,1.13,2
-0.56,1.14,4
-0.56,1.15,2
-0.56,1.16,7
-0.56,1.17,4
-0.56,1.18,5
-0.56,1.19,3
-0.56,1.2,4
-0.56,1.21,5
-0.56,1.22,4
-0.56,1.23,1
-0.56,1.24,2
-0.56,1.25,2
-0.56,1.26,7
-0.56,1.27,3
-0.56,1.28,4
-0.56,1.29,5
-0.56,1.3,1
-0.56,1.31,4
-0.56,1.32,1
-0.56,1.33,6
-0.56,1.34,2
-0.56,1.35,2
-0.56,1.36,2
-0.56,1.37,1
-0.56,1.38,4
-0.56,1.39,2
-0.55,0.41,3
-0.55,0.42,1
-0.55,0.44,5
-0.55,0.45,2
-0.55,0.46,2
-0.55,0.47,3
-0.55,0.49,6
-0.55,0.5,1
-0.55,0.52,7
-0.55,0.53,1
-0.55,0.54,4
-0.55,0.55,1
-0.55,0.56,3
-0.55,0.57,3
-0.55,0.58,7
-0.55,0.59,2
-0.55,0.6,8
-0.55,0.61,2
-0.55,0.62,5
-0.55,0.63,2
-0.55,0.64,6
-0.55,0.65,6
-0.55,0.66,4
-0.55,0.67,7
-0.55,0.68,4
-0.55,0.69,7
-0.55,0.7,2
-0.55,0.71,4
-0.55,0.72,5
-0.55,0.73,3
-0.55,0.74,3
-0.55,0.75,4
-0.55,0.76,2
-0.55,0.77,3
-0.55,0.78,5
-0.55,0.79,3
-0.55,0.8,2
-0.55,0.81,2
-0.55,0.82,6
-0.55,0.83,2
-0.55,0.84,8
-0.55,0.85,9
-0.55,0.86,5
-0.55,0.87,6
-0.55,0.88,8
-0.55,0.89,3
-0.55,0.9,6
-0.55,0.91,6
-0.55,0.92,4
-0.55,0.93,7
-0.55,0.94,5
-0.55,0.95,6
-0.55,0.96,5
-0.55,0.97,8
-0.55,0.98,1
-0.55,0.99,4
-0.55,1,4
-0.55,1.01,5
-0.55,1.02,4
-0.55,1.03,2
-0.55,1.04,8
-0.55,1.05,3
