y_m,z_m,hit_count
-0.35,1.26,8
-0.35,1.27,6
-0.35,1.28,11
-0.35,1.29,6
-0.35,1.3,5
-0.35,1.31,7
-0.35,1.32,8
-0.35,1.33,7
-0.35,1.34,5
-0.35,1.35,8
-0.35,1.36,1
-0.35,1.37,14
-0.35,1.38,6
-0.35,1.39,4
-0.35,1.4,4
-0.35,1.41,3
-0.35,1.42,5
-0.35,1.43,1
-0.35,1.44,3
-0.35,1.45,2
-0.35,1.46,6
-0.35,1.47,5
-0.35,1.48,5
-0.35,1.49,3
-0.35,1.5,3
-0.35,1.51,2
-0.35,1.52,2
-0.35,1.53,2
-0.35,1.54,3
-0.35,1.55,2
-0.35,1.56,1
-0.34,0.25,2
-0.34,0.26,4
-0.34,0.27,4
-0.34,0.28,5
-0.34,0.29,4
-0.34,0.3,3
-0.34,0.31,4
-0.34,0.32,2
-0.34,0.33,4
-0.34,0.34,5
-0.34,0.35,8
-0.34,0.36,2
-0.34,0.37,7
-0.34,0.38,7
-0.34,0.39,8
-0.34,0.4,7
-0.34,0.41,8
-0.34,0.42,8
-0.34,0.43,11
-0.34,0.44,6
-0.34,0.45,11
-0.34,0.46,7
-0.34,0.47,8
-0.34,0.48,7
-0.34,0.49,13
-0.34,0.5,13
-0.34,0.51,4
-0.34,0.52,11
-0.34,0.53,5
-0.34,0.54,6
-0.34,0.55,7
-0.34,0.56,13
-0.34,0.57,12
-0.34,0.58,11
-0.34,0.59,9
-0.34,0.6,14
-0.34,0.61,11
-0.34,0.62,12
-0.34,0.63,8
-0.34,0.64,17
-0.34,0.65,11
-0.34,0.66,17
-0.34,0.67,17
-0.34,0.68,19
-0.34,0.69,16
-0.34,0.7,16
-0.34,0.71,19
-0.34,0.72,15
-0.34,0.73,17
-0.34,0.74,15
-0.34,0.75,12
-0.34,0.76,10
-0.34,0.77,19
-0.34,0.78,17
-0.34,0.79,15
-0.34,0.8,18
-0.34,0.81,8
-0.34,0.82,14
-0.34,0.83,21
-0.34,0.84,18
-0.34,0.85,17
-0.34,0.86,14
-0.34,0.87,15
-0.34,0.88,14
-0.34,0.89,18
-0.34,0.9,14
-0.34,0.91,22
-0.34,0.92,17
-0.34,0.93,20
-0.34,0.94,14
-0.34,0.95,17
-0.34,0.96,9
-0.34,0.97,17
-0.34,0.98,13
-0.34,0.99,10
-0.34,1,17
-0.34,1.01,17
-0.34,1.02,9
-0.34,1.03,11
-0.34,1.04,12
-0.34,1.05,13
-0.34,1.06,13
-0.34,1.07,12
-0.34,1.08,12
-0.34,1.09,11
-0.34,1.1,11
-0.34,1.11,12
-0.34,1.12,16
-0.34,1.13,11
-0.34,1.14,8
-0.34,1.15,9
-0.34,1.16,16
-0.34,1.17,15
-0.34,1.18,13
-0.34,1.19,16
-0.34,1.2,7
-0.34,1.21,3
-0.34,1.22,6
-0.34,1.23,12
-0.34,1.24,6
-0.34,1.25,9
-0.34,1.26,11
-0.34,1.27,10
-0.34,1.28,6
-0.34,1.29,7
-0.34,1.3,10
-0.34,1.31,4
-0.34,1.32,5
-0.34,1.33,4
-0.34,1.34,7
-0.34,1.35,5
-0.34,1.36,3
-0.34,1.37,9
-0.34,1.38,3
-0.34,1.39,5
-0.34,1.4,8
-0.34,1.41,3
-0.34,1.42,3
-0.34,1.43,4
-0.34,1.44,4
-0.34,1.45,3
-0.34,1.46,2
-0.34,1.48,5
-0.34,1.49,5
-0.34,1.5,4
-0.34,1.51,2
-0.34,1.52,3
-0.34,1.53,5
-0.34,1.54,2
-0.34,1.55,3
-0.34,1.56,1
-0.33,0.23,1
-0.33,0.24,1
-0.33,0.25,5
-0.33,0.26,4
-0.33,0.28,5
-0.33,0.29,4
-0.33,0.3,8
-0.33,0.31,3
-0.33,0.32,4
-0.33,0.33,6
-0.33,0.34,2
-0.33,0.35,7
-0.33,0.36,10
-0.33,0.37,8
-0.33,0.38,6
-0.33,0.39,8
-0.33,0.4,5
-0.33,0.41,9
-0.33,0.42,8
-0.33,0.43,11
-0.33,0.44,4
-0.33,0.45,10
-0.33,0.46,14
-0.33,0.47,6
-0.33,0.48,5
-0.33,0.49,10
-0.33,0.5,15
-0.33,0.51,9
-0.33,0.52,13
-0.33,0.53,8
-0.33,0.54,12
-0.33,0.55,10
-0.33,0.56,12
-0.33,0.57,6
-0.33,0.58,8
-0.33,0.59,10
-0.33,0.6,11
-0.33,0.61,5
-0.33,0.62,15
-0.33,0.63,14
-0.33,0.64,16
-0.33,0.65,17
-0.33,0.66,20
-0.33,0.67,16
-0.33,0.68,15
-0.33,0.69,15
-0.33,0.7,9
-0.33,0.71,16
-0.33,0.72,11
-0.33,0.73,15
-0.33,0.74,18
-0.33,0.75,11
-0.33,0.76,12
-0.33,0.77,11
-0.33,0.78,20
-0.33,0.79,19
-0.33,0.8,10
-0.33,0.81,12
-0.33,0.82,20
-0.33,0.83,18
-0.33,0.84,14
-0.33,0.85,17
-0.33,0.86,19
-0.33,0.87,19
-0.33,0.88,10
-0.33,0.89,18
-0.33,0.9,12
-0.33,0.91,19
-0.33,0.92,17
-0.33,0.93,8
-0.33,0.94,21
-0.33,0.95,16
-0.33,0.96,15
-0.33,0.97,14
-0.33,0.98,11
-0.33,0.99,18
-0.33,1,6
-0.33,1.01,13
-0.33,1.02,11
-0.33,1.03,15
-0.33,1.04,10
-0.33,1.05,15
-0.33,1.06,18
-0.33,1.07,14
-0.33,1.08,14
-0.33,1.09,8
-0.33,1.1,10
-0.33,1.11,10
-0.33,1.12,12
-0.33,1.13,9
-0.33,1.14,6
-0.33,1.15,11
-0.33,1.16,8
-0.33,1.17,7
-0.33,1.18,9
-0.33,1.19,5
-0.33,1.2,9
-0.33,1.21,13
-0.33,1.22,7
-0.33,1.23,9
-0.33,1.24,8
-0.33,1.25,10
-0.33,1.26,6
-0.33,1.27,6
-0.33,1.28,10
-0.33,1.29,6
-0.33,1.3,11
-0.33,1.31,9
-0.33,1.32,6
-0.33,1.33,11
-0.33,1.34,6
-0.33,1.35,8
-0.33,1.36,6
-0.33,1.37,4
-0.33,1.38,3
-0.33,1.39,5
-0.33,1.4,11
-0.33,1.41,6
-0.33,1.42,1
-0.33,1.43,5
-0.33,1.44,6
-0.33,1.45,6
-0.33,1.46,4
-0.33,1.47,4
-0.33,1.48,3
-0.33,1.49,5
-0.33,1.5,1
-0.33,1.51,4
-0.33,1.52,1
-0.33,1.53,5
-0.33,1.54,5
-0.33,1.55,1
-0.33,1.56,2
-0.33,1.57,2
-0.33,1.58,1
-0.32,0.23,1
-0.32,0.26,3
-0.32,0.27,1
-0.32,0.28,7
-0.32,0.29,5
-0.32,0.3,4
-0.32,0.31,4
-0.32,0.32,4
-0.32,0.33,4
-0.32,0.34,8
-0.32,0.35,8
-0.32,0.36,7
-0.32,0.37,6
-0.32,0.38,2
-0.32,0.39,2
-0.32,0.4,7
-0.32,0.41,12
-0.32,0.42,5
-0.32,0.43,6
-0.32,0.44,4
-0.32,0.45,6
-0.32,0.46,7
-0.32,0.47,7
-0.32,0.48,9
-0.32,0.49,13
-0.32,0.5,13
-0.32,0.51,12
-0.32,0.52,16
-0.32,0.53,10
-0.32,0.54,10
-0.32,0.55,17
-0.32,0.56,15
-0.32,0.57,10
-0.32,0.58,21
-0.32,0.59,15
-0.32,0.6,12
-0.32,0.61,9
-0.32,0.62,12
-0.32,0.63,7
-0.32,0.64,12
-0.32,0.65,12
-0.32,0.66,15
-0.32,0.67,13
-0.32,0.68,12
-0.32,0.69,14
-0.32,0.7,20
-0.32,0.71,11
-0.32,0.72,14
-0.32,0.73,18
-0.32,0.74,12
-0.32,0.75,14
-0.32,0.76,18
-0.32,0.77,16
-0.32,0.78,13
-0.32,0.79,11
-0.32,0.8,16
-0.32,0.81,16
-0.32,0.82,16
-0.32,0.83,18
-0.32,0.84,12
-0.32,0.85,15
-0.32,0.86,12
-0.32,0.87,14
-0.32,0.88,11
-0.32,0.89,22
-0.32,0.9,17
-0.32,0.91,11
-0.32,0.92,16
-0.32,0.93,14
-0.32,0.94,6
-0.32,0.95,14
-0.32,0.96,13
-0.32,0.97,15
-0.32,0.98,15
-0.32,0.99,19
-0.32,1,19
-0.32,1.01,17
-0.32,1.02,11
-0.32,1.03,6
-0.32,1.04,11
-0.32,1.05,18
-0.32,1.06,15
-0.32,1.07,18
-0.32,1.08,14
-0.32,1.09,13
-0.32,1.1,15
-0.32,1.11,17
-0.32,1.12,15
-0.32,1.13,17
-0.32,1.14,21
-0.32,1.15,12
-0.32,1.16,15
-0.32,1.17,17
-0.32,1.18,11
-0.32,1.19,3
-0.32,1.2,10
-0.32,1.21,6
-0.32,1.22,16
-0.32,1.23,10
-0.32,1.24,5
-0.32,1.25,8
-0.32,1.26,10
-0.32,1.27,6
-0.32,1.28,7
-0.32,1.29,9
-0.32,1.3,8
-0.32,1.31,15
-0.32,1.32,4
-0.32,1.33,4
-0.32,1.34,6
-0.32,1.35,8
-0.32,1.36,2
-0.32,1.37,7
-0.32,1.38,10
-0.32,1.39,5
-0.32,1.4,3
-0.32,1.42,3
-0.32,1.43,6
-0.32,1.44,6
-0.32,1.45,6
-0.32,1.46,6
-0.32,1.47,7
-0.32,1.48,3
-0.32,1.49,2
-0.32,1.5,3
-0.32,1.51,5
-0.32,1.52,3
-0.32,1.53,2
-0.32,1.54,3
-0.32,1.55,2
-0.32,1.56,2
-0.32,1.57,1
-0.31,0.23,1
-0.31,0.24,2
-0.31,0.25,5
-0.31,0.26,4
-0.31,0.27,5
-0.31,0.28,5
-0.31,0.29,4
-0.31,0.3,2
-0.31,0.31,3
-0.31,0.32,5
-0.31,0.33,5
-0.31,0.34,9
-0.31,0.35,7
-0.31,0.36,4
-0.31,0.37,4
-0.31,0.38,7
-0.31,0.39,7
-0.31,0.4,4
-0.31,0.41,7
-0.31,0.42,7
-0.31,0.43,10
-0.31,0.44,12
-0.31,0.45,11
-0.31,0.46,9
-0.31,0.47,8
-0.31,0.48,13
-0.31,0.49,11
-0.31,0.5,16
-0.31,0.51,10
-0.31,0.52,10
-0.31,0.53,10
-0.31,0.54,13
-0.31,0.55,8
-0.31,0.56,9
-0.31,0.57,17
-0.31,0.58,16
-0.31,0.59,13
-0.31,0.6,8
-0.31,0.61,13
-0.31,0.62,14
-0.31,0.63,16
-0.31,0.64,17
-0.31,0.65,12
-0.31,0.66,12
-0.31,0.67,11
-0.31,0.68,14
-0.31,0.69,12
-0.31,0.7,18
-0.31,0.71,10
-0.31,0.72,18
-0.31,0.73,18
-0.31,0.74,18
-0.31,0.75,14
-0.31,0.76,17
-0.31,0.77,20
-0.31,0.78,18
-0.31,0.79,14
-0.31,0.8,17
-0.31,0.81,21
-0.31,0.82,18
-0.31,0.83,10
-0.31,0.84,12
-0.31,0.85,11
-0.31,0.86,15
-0.31,0.87,15
-0.31,0.88,20
-0.31,0.89,18
-0.31,0.9,15
-0.31,0.91,14
-0.31,0.92,9
-0.31,0.93,16
-0.31,0.94,16
-0.31,0.95,17
-0.31,0.96,17
-0.31,0.97,8
-0.31,0.98,13
-0.31,0.99,14
-0.31,1,13
-0.31,1.01,18
-0.31,1.02,11
-0.31,1.03,18
-0.31,1.04,14
-0.31,1.05,12
-0.31,1.06,10
-0.31,1.07,11
-0.31,1.08,12
-0.31,1.09,11
-0.31,1.1,17
-0.31,1.11,15
-0.31,1.12,9
-0.31,1.13,17
-0.31,1.14,20
-0.31,1.15,11
-0.31,1.16,11
-0.31,1.17,13
-0.31,1.18,7
-0.31,1.19,11
-0.31,1.2,6
-0.31,1.21,13
-0.31,1.22,11
-0.31,1.23,12
-0.31,1.24,9
-0.31,1.25,9
-0.31,1.26,12
-0.31,1.27,8
-0.31,1.28,7
-0.31,1.29,10
-0.31,1.3,12
-0.31,1.31,4
-0.31,1.32,5
-0.31,1.33,6
-0.31,1.34,6
-0.31,1.35,8
-0.31,1.36,5
-0.31,1.37,9
-0.31,1.38,5
-0.31,1.39,6
-0.31,1.4,4
-0.31,1.41,2
-0.31,1.42,7
-0.31,1.43,4
-0.31,1.44,7
-0.31,1.45,6
-0.31,1.46,2
-0.31,1.47,2
-0.31,1.48,2
-0.31,1.49,6
-0.31,1.5,5
-0.31,1.51,4
-0.31,1.52,3
-0.31,1.53,2
-0.31,1.54,2
-0.31,1.55,2
-0.31,1.56,4
-0.31,1.57,1
-0.31,1.59,1
-0.3,0.23,2
-0.3,0.24,2
-0.3,0.25,3
-0.3,0.26,4
-0.3,0.27,5
-0.3,0.28,2
-0.3,0.29,2
-0.3,0.3,7
-0.3,0.31,10
-0.3,0.32,6
-0.3,0.33,8
-0.3,0.34,2
-0.3,0.35,6
-0.3,0.36,11
-0.3,0.37,8
-0.3,0.38,5
-0.3,0.39,5
-0.3,0.4,9
-0.3,0.41,7
-0.3,0.42,8
-0.3,0.43,12
-0.3,0.44,10
-0.3,0.45,6
-0.3,0.46,7
-0.3,0.47,14
-0.3,0.48,8
-0.3,0.49,13
-0.3,0.5,18
-0.3,0.51,15
-0.3,0.52,11
-0.3,0.53,9
-0.3,0.54,10
-0.3,0.55,12
-0.3,0.56,14
-0.3,0.57,12
-0.3,0.58,12
-0.3,0.59,6
-0.3,0.6,15
-0.3,0.61,11
-0.3,0.62,11
-0.3,0.63,13
-0.3,0.64,9
-0.3,0.65,17
-0.3,0.66,12
-0.3,0.67,29
-0.3,0.68,11
-0.3,0.69,13
-0.3,0.7,9
-0.3,0.71,19
-0.3,0.72,17
-0.3,0.73,13
-0.3,0.74,15
-0.3,0.75,13
-0.3,0.76,22
-0.3,0.77,15
-0.3,0.78,17
-0.3,0.79,17
-0.3,0.8,16
-0.3,0.81,21
-0.3,0.82,20
-0.3,0.83,17
-0.3,0.84,18
-0.3,0.85,13
-0.3,0.86,8
-0.3,0.87,15
-0.3,0.88,14
-0.3,0.89,17
-0.3,0.9,17
-0.3,0.91,19
-0.3,0.92,19
-0.3,0.93,17
-0.3,0.94,15
-0.3,0.95,14
-0.3,0.96,7
-0.3,0.97,11
-0.3,0.98,11
-0.3,0.99,25
-0.3,1,16
-0.3,1.01,21
-0.3,1.02,15
-0.3,1.03,18
-0.3,1.04,10
-0.3,1.05,12
-0.3,1.06,18
-0.3,1.07,21
-0.3,1.08,14
-0.3,1.09,10
-0.3,1.1,18
-0.3,1.11,20
-0.3,1.12,11
-0.3,1.13,11
-0.3,1.14,13
-0.3,1.15,16
-0.3,1.16,20
-0.3,1.17,12
-0.3,1.18,8
-0.3,1.19,12
-0.3,1.2,17
-0.3,1.21,12
-0.3,1.22,6
-0.3,1.23,10
-0.3,1.24,7
-0.3,1.25,14
-0.3,1.26,2
-0.3,1.27,6
-0.3,1.28,14
-0.3,1.29,10
-0.3,1.3,11
-0.3,1.31,9
-0.3,1.32,8
-0.3,1.33,10
-0.3,1.34,4
-0.3,1.35,4
-0.3,1.36,7
-0.3,1.37,6
-0.3,1.38,6
-0.3,1.39,5
-0.3,1.4,5
-0.3,1.41,12
-0.3,1.42,3
-0.3,1.43,5
-0.3,1.44,3
-0.3,1.45,3
-0.3,1.46,7
-0.3,1.47,2
-0.3,1.48,2
-0.3,1.49,4
-0.3,1.5,1
-0.3,1.51,3
-0.3,1.52,2
-0.3,1.53,1
-0.3,1.54,2
-0.3,1.55,1
-0.3,1.56,1
-0.3,1.57,2
-0.3,1.58,2
-0.29,0.22,2
-0.29,0.23,2
-0.29,0.24,2
-0.29,0.25,2
-0.29,0.26,7
-0.29,0.27,2
-0.29,0.28,7
-0.29,0.29,3
-0.29,0.3,7
-0.29,0.31,4
-0.29,0.32,5
-0.29,0.33,1
-0.29,0.34,3
-0.29,0.35,7
-0.29,0.36,7
-0.29,0.37,2
-0.29,0.38,6
-0.29,0.39,8
-0.29,0.4,7
-0.29,0.41,11
-0.29,0.42,13
-0.29,0.43,9
-0.29,0.44,5
-0.29,0.45,5
-0.29,0.46,14
-0.29,0.47,14
-0.29,0.48,5
-0.29,0.49,9
-0.29,0.5,10
-0.29,0.51,11
-0.29,0.52,10
-0.29,0.53,11
-0.29,0.54,11
-0.29,0.55,18
-0.29,0.56,11
-0.29,0.57,17
-0.29,0.58,9
-0.29,0.59,20
-0.29,0.6,15
-0.29,0.61,20
-0.29,0.62,12
-0.29,0.63,20
-0.29,0.64,13
-0.29,0.65,18
-0.29,0.66,20
-0.29,0.67,16
-0.29,0.68,13
-0.29,0.69,18
-0.29,0.7,21
-0.29,0.71,25
-0.29,0.72,9
-0.29,0.73,13
-0.29,0.74,13
-0.29,0.75,20
-0.29,0.76,15
-0.29,0.77,16
-0.29,0.78,14
-0.29,0.79,17
-0.29,0.8,17
-0.29,0.81,14
-0.29,0.82,15
-0.29,0.83,14
-0.29,0.84,16
-0.29,0.85,14
-0.29,0.86,13
-0.29,0.87,16
-0.29,0.88,14
-0.29,0.89,16
-0.29,0.9,17
-0.29,0.91,15
-0.29,0.92,12
-0.29,0.93,15
-0.29,0.94,11
-0.29,0.95,18
-0.29,0.96,17
-0.29,0.97,16
-0.29,0.98,12
-0.29,0.99,14
-0.29,1,14
-0.29,1.01,26
-0.29,1.02,15
-0.29,1.03,17
-0.29,1.04,6
-0.29,1.05,19
-0.29,1.06,21
-0.29,1.07,20
-0.29,1.08,16
-0.29,1.09,12
-0.29,1.1,13
-0.29,1.11,10
-0.29,1.12,13
-0.29,1.13,8
-0.29,1.14,13
-0.29,1.15,16
-0.29,1.16,11
-0.29,1.17,9
-0.29,1.18,10
-0.29,1.19,7
-0.29,1.2,18
-0.29,1.21,11
-0.29,1.22,7
-0.29,1.23,14
-0.29,1.24,10
-0.29,1.25,10
-0.29,1.26,13
-0.29,1.27,10
-0.29,1.28,7
-0.29,1.29,11
-0.29,1.3,3
-0.29,1.31,8
-0.29,1.32,8
-0.29,1.33,4
-0.29,1.34,7
-0.29,1.35,7
-0.29,1.36,5
-0.29,1.37,7
-0.29,1.38,4
-0.29,1.39,5
-0.29,1.4,6
-0.29,1.41,6
-0.29,1.42,6
-0.29,1.43,6
-0.29,1.44,4
-0.29,1.45,8
-0.29,1.46,3
-0.29,1.47,6
-0.29,1.48,2
-0.29,1.49,3
-0.29,1.5,2
-0.29,1.51,3
-0.29,1.52,1
-0.29,1.53,2
-0.29,1.54,5
-0.29,1.55,2
-0.29,1.56,4
-0.29,1.58,1
-0.29,1.59,2
-0.28,0.22,3
-0.28,0.23,2
-0.28,0.24,2
-0.28,0.25,3
-0.28,0.26,3
-0.28,0.27,6
-0.28,0.28,5
-0.28,0.29,8
-0.28,0.3,5
-0.28,0.31,3
-0.28,0.32,5
-0.28,0.33,8
-0.28,0.34,9
-0.28,0.35,6
-0.28,0.36,10
-0.28,0.37,5
-0.28,0.38,8
-0.28,0.39,11
-0.28,0.4,6
-0.28,0.41,10
-0.28,0.42,12
-0.28,0.43,7
-0.28,0.44,5
-0.28,0.45,12
-0.28,0.46,9
-0.28,0.47,11
-0.28,0.48,8
-0.28,0.49,12
-0.28,0.5,11
-0.28,0.51,7
-0.28,0.52,14
-0.28,0.53,11
-0.28,0.54,16
-0.28,0.55,20
-0.28,0.56,10
-0.28,0.57,14
-0.28,0.58,10
-0.28,0.59,12
-0.28,0.6,10
-0.28,0.61,9
-0.28,0.62,11
-0.28,0.63,12
-0.28,0.64,17
-0.28,0.65,14
-0.28,0.66,17
-0.28,0.67,17
-0.28,0.68,17
-0.28,0.69,11
-0.28,0.7,13
-0.28,0.71,13
-0.28,0.72,12
-0.28,0.73,17
-0.28,0.74,13
-0.28,0.75,19
-0.28,0.76,18
-0.28,0.77,16
-0.28,0.78,14
-0.28,0.79,17
-0.28,0.8,14
-0.28,0.81,15
-0.28,0.82,11
-0.28,0.83,21
-0.28,0.84,13
-0.28,0.85,17
-0.28,0.86,12
-0.28,0.87,22
-0.28,0.88,12
-0.28,0.89,10
-0.28,0.9,17
-0.28,0.91,16
-0.28,0.92,17
-0.28,0.93,15
-0.28,0.94,16
-0.28,0.95,15
-0.28,0.96,19
-0.28,0.97,19
-0.28,0.98,17
-0.28,0.99,17
-0.28,1,13
-0.28,1.01,18
-0.28,1.02,12
-0.28,1.03,14
-0.28,1.04,11
-0.28,1.05,13
-0.28,1.06,15
-0.28,1.07,17
-0.28,1.08,15
-0.28,1.09,16
-0.28,1.1,12
-0.28,1.11,15
-0.28,1.12,17
-0.28,1.13,10
-0.28,1.14,12
-0.28,1.15,16
-0.28,1.16,11
-0.28,1.17,11
-0.28,1.18,11
-0.28,1.19,11
-0.28,1.2,18
-0.28,1.21,11
-0.28,1.22,12
-0.28,1.23,5
-0.28,1.24,9
-0.28,1.25,11
-0.28,1.26,9
-0.28,1.27,8
-0.28,1.28,6
-0.28,1.29,9
-0.28,1.3,7
-0.28,1.31,10
-0.28,1.32,7
-0.28,1.33,9
-0.28,1.34,7
-0.28,1.35,9
-0.28,1.36,5
-0.28,1.37,7
-0.28,1.38,6
-0.28,1.39,8
-0.28,1.4,9
-0.28,1.41,6
-0.28,1.42,6
-0.28,1.43,4
-0.28,1.44,2
-0.28,1.45,4
-0.28,1.46,6
-0.28,1.47,5
-0.28,1.48,6
-0.28,1.49,2
-0.28,1.5,9
-0.28,1.51,4
-0.28,1.52,4
-0.28,1.53,3
-0.28,1.54,2
-0.28,1.55,1
-0.28,1.56,1
-0.28,1.57,5
-0.28,1.58,2
-0.27,0.22,2
-0.27,0.23,1
-0.27,0.24,1
-0.27,0.25,6
-0.27,0.26,8
-0.27,0.27,3
-0.27,0.28,3
-0.27,0.29,7
-0.27,0.3,5
-0.27,0.31,7
-0.27,0.32,8
-0.27,0.33,6
-0.27,0.34,11
-0.27,0.35,6
-0.27,0.36,8
-0.27,0.37,11
-0.27,0.38,11
-0.27,0.39,12
-0.27,0.4,7
-0.27,0.41,14
-0.27,0.42,11
-0.27,0.43,7
-0.27,0.44,7
-0.27,0.45,7
-0.27,0.46,11
-0.27,0.47,8
-0.27,0.48,8
-0.27,0.49,9
-0.27,0.5,13
-0.27,0.51,11
-0.27,0.52,11
-0.27,0.53,13
-0.27,0.54,10
-0.27,0.55,10
-0.27,0.56,19
-0.27,0.57,11
-0.27,0.58,17
-0.27,0.59,12
-0.27,0.6,15
-0.27,0.61,17
-0.27,0.62,17
-0.27,0.63,20
-0.27,0.64,18
-0.27,0.65,18
-0.27,0.66,8
-0.27,0.67,14
-0.27,0.68,22
-0.27,0.69,21
-0.27,0.7,12
-0.27,0.71,21
-0.27,0.72,19
-0.27,0.73,20
-0.27,0.74,10
-0.27,0.75,17
-0.27,0.76,14
-0.27,0.77,14
-0.27,0.78,11
-0.27,0.79,18
-0.27,0.8,20
-0.27,0.81,20
-0.27,0.82,17
-0.27,0.83,16
-0.27,0.84,14
-0.27,0.85,18
-0.27,0.86,14
-0.27,0.87,13
-0.27,0.88,20
-0.27,0.89,16
-0.27,0.9,19
-0.27,0.91,15
-0.27,0.92,13
-0.27,0.93,17
-0.27,0.94,13
-0.27,0.95,14
-0.27,0.96,13
-0.27,0.97,19
-0.27,0.98,17
-0.27,0.99,17
-0.27,1,18
-0.27,1.01,25
-0.27,1.02,21
-0.27,1.03,13
-0.27,1.04,20
-0.27,1.05,15
-0.27,1.06,16
-0.27,1.07,16
-0.27,1.08,12
-0.27,1.09,23
-0.27,1.1,12
-0.27,1.11,19
-0.27,1.12,18
-0.27,1.13,14
-0.27,1.14,18
-0.27,1.15,22
-0.27,1.16,13
-0.27,1.17,14
-0.27,1.18,13
-0.27,1.19,17
-0.27,1.2,19
-0.27,1.21,6
-0.27,1.22,14
-0.27,1.23,10
-0.27,1.24,13
-0.27,1.25,15
-0.27,1.26,12
-0.27,1.27,13
-0.27,1.28,8
-0.27,1.29,14
-0.27,1.3,10
-0.27,1.31,12
-0.27,1.32,8
-0.27,1.33,8
-0.27,1.34,12
-0.27,1.35,4
-0.27,1.36,5
-0.27,1.37,5
-0.27,1.38,10
-0.27,1.39,5
-0.27,1.4,12
-0.27,1.41,5
-0.27,1.43,8
-0.27,1.44,5
-0.27,1.45,5
-0.27,1.46,5
-0.27,1.47,3
-0.27,1.48,2
-0.27,1.49,3
-0.27,1.5,3
-0.27,1.51,3
-0.27,1.52,5
-0.27,1.53,1
-0.27,1.54,2
-0.27,1.55,6
-0.27,1.56,2
-0.27,1.57,3
-0.27,1.58,1
-0.27,1.59,1
-0.26,0.21,2
-0.26,0.22,1
-0.26,0.23,3
-0.26,0.24,3
-0.26,0.25,6
-0.26,0.26,8
-0.26,0.27,3
-0.26,0.28,3
-0.26,0.29,10
-0.26,0.3,4
-0.26,0.31,2
-0.26,0.32,6
-0.26,0.33,7
-0.26,0.34,5
-0.26,0.35,4
-0.26,0.36,8
-0.26,0.37,11
-0.26,0.38,9
-0.26,0.39,9
-0.26,0.4,10
-0.26,0.41,10
-0.26,0.42,12
-0.26,0.43,13
-0.26,0.44,18
-0.26,0.45,14
-0.26,0.46,12
-0.26,0.47,12
-0.26,0.48,7
-0.26,0.49,14
-0.26,0.5,17
-0.26,0.51,17
-0.26,0.52,13
-0.26,0.53,16
-0.26,0.54,10
-0.26,0.55,15
-0.26,0.56,17
-0.26,0.57,13
-0.26,0.58,13
-0.26,0.59,14
-0.26,0.6,15
-0.26,0.61,21
-0.26,0.62,14
-0.26,0.63,20
-0.26,0.64,12
-0.26,0.65,13
-0.26,0.66,29
-0.26,0.67,20
-0.26,0.68,20
-0.26,0.69,18
-0.26,0.7,17
-0.26,0.71,21
-0.26,0.72,13
-0.26,0.73,17
-0.26,0.74,23
-0.26,0.75,22
-0.26,0.76,22
-0.26,0.77,15
-0.26,0.78,20
-0.26,0.79,14
-0.26,0.8,19
-0.26,0.81,22
-0.26,0.82,15
-0.26,0.83,21
-0.26,0.84,12
-0.26,0.85,19
-0.26,0.86,15
-0.26,0.87,11
-0.26,0.88,14
-0.26,0.89,21
-0.26,0.9,16
-0.26,0.91,20
-0.26,0.92,19
-0.26,0.93,16
-0.26,0.94,15
-0.26,0.95,18
-0.26,0.96,12
-0.26,0.97,19
-0.26,0.98,11
-0.26,0.99,16
-0.26,1,14
-0.26,1.01,15
-0.26,1.02,21
-0.26,1.03,12
-0.26,1.04,18
-0.26,1.05,15
-0.26,1.06,13
-0.26,1.07,11
-0.26,1.08,13
-0.26,1.09,17
-0.26,1.1,9
-0.26,1.11,15
-0.26,1.12,17
-0.26,1.13,18
-0.26,1.14,10
-0.26,1.15,13
-0.26,1.16,12
-0.26,1.17,16
-0.26,1.18,8
-0.26,1.19,8
-0.26,1.2,14
-0.26,1.21,16
-0.26,1.22,11
-0.26,1.23,9
-0.26,1.24,11
-0.26,1.25,9
-0.26,1.26,8
-0.26,1.27,10
-0.26,1.28,15
-0.26,1.29,12
-0.26,1.3,8
-0.26,1.31,8
-0.26,1.32,6
-0.26,1.33,4
-0.26,1.34,9
-0.26,1.35,8
-0.26,1.36,9
-0.26,1.37,5
-0.26,1.38,10
-0.26,1.39,8
-0.26,1.4,12
-0.26,1.41,8
-0.26,1.42,6
-0.26,1.43,8
-0.26,1.44,4
-0.26,1.45,9
-0.26,1.46,1
-0.26,1.47,5
-0.26,1.48,7
-0.26,1.49,3
-0.26,1.5,4
-0.26,1.51,6
-0.26,1.52,3
-0.26,1.53,3
-0.26,1.54,3
-0.26,1.55,3
-0.26,1.56,5
-0.26,1.57,4
-0.26,1.58,3
-0.26,1.59,1
-0.26,1.6,1
-0.26,1.61,1
-0.25,0.2,2
-0.25,0.21,1
-0.25,0.22,3
-0.25,0.23,7
-0.25,0.24,4
-0.25,0.25,4
-0.25,0.26,2
-0.25,0.27,5
-0.25,0.28,8
-0.25,0.29,8
-0.25,0.3,12
-0.25,0.31,13
-0.25,0.32,8
-0.25,0.33,9
-0.25,0.34,8
-0.25,0.35,16
-0.25,0.36,6
-0.25,0.37,9
-0.25,0.38,11
-0.25,0.39,10
