mode_id,xy_resolution,psi_rad,psi_deg,scanned_grid_points,rank3_grid_points,closure_feasible_grid_points,feasible_grid_points,min_gamma_n,max_gamma_n,mean_gamma_n,max_closure_margin
3,121,-3.14159,-180,14641,0,14641,14641,108.226,247.5,165.753,0.124999
3,121,-3.10669,-178,14641,14641,0,0,nan,nan,nan,nan
3,121,-3.07178,-176,14641,14641,0,0,nan,nan,nan,nan
3,121,-3.03687,-174,14641,14641,0,0,nan,nan,nan,nan
3,121,-3.00197,-172,14641,14641,0,0,nan,nan,nan,nan
3,121,-2.96706,-170,14641,14641,0,0,nan,nan,nan,nan
3,121,-2.93215,-168,14641,14641,0,0,nan,nan,nan,nan
3,121,-2.89725,-166,14641,14641,0,0,nan,nan,nan,nan
3,121,-2.86234,-164,14641,14641,0,0,nan,nan,nan,nan
3,121,-2.82743,-162,14641,14641,0,0,nan,nan,nan,nan
3,121,-2.79253,-160,14641,14641,0,0,nan,nan,nan,nan
3,121,-2.75762,-158,14641,14641,0,0,nan,nan,nan,nan
3,121,-2.72271,-156,14641,14641,0,0,nan,nan,nan,nan
3,121,-2.68781,-154,14641,14641,0,0,nan,nan,nan,nan
3,121,-2.6529,-152,14641,14641,0,0,nan,nan,nan,nan
3,121,-2.61799,-150,14641,14641,0,0,nan,nan,nan,nan
3,121,-2.58309,-148,14641,14641,0,0,nan,nan,nan,nan
3,121,-2.54818,-146,14641,14641,0,0,nan,nan,nan,nan
3,121,-2.51327,-144,14641,14641,0,0,nan,nan,nan,nan
3,121,-2.47837,-142,14641,14641,0,0,nan,nan,nan,nan
3,121,-2.44346,-140,14641,14641,0,0,nan,nan,nan,nan
3,121,-2.40855,-138,14641,14641,0,0,nan,nan,nan,nan
3,121,-2.37365,-136,14641,14641,0,0,nan,nan,nan,nan
3,121,-2.33874,-134,14641,14641,0,0,nan,nan,nan,nan
3,121,-2.30383,-132,14641,14641,0,0,nan,nan,nan,nan
3,121,-2.26893,-130,14641,14641,0,0,nan,nan,nan,nan
