original_index,dx_m,dy_m,dz_m,target_x_m,target_y_m,target_z_m,success_all,tip_rmse_norm,tip_rmse_x,tip_rmse_y,tip_rmse_z,max_dyn_residual,near_lower_ratio,min_safe_tension_margin_N,early_tension_variation,selection_score,worst_cable_index
4,0.1,0.04,0.48,0.157035519377218,0.0500010142488494,0.765124963237541,1,0.139640022965938,0.0249722308503197,0.0110238542604702,0.136945968679366,7.04485777512762e-14,0.025,7.0885519676267e-12,20.9354091062616,18.1426086469429,5
7,0.14,-0.04,0.48,0.197035519377218,-0.0299989857511506,0.765124963237541,1,0.141822926464749,0.0358088735176936,0.0109323193614638,0.136791635130948,6.73130338375468e-14,0.025,7.66497976201208e-12,20.9571364450665,18.1206779157715,7
13,0.22,-0.16,0.48,0.277035519377218,-0.149998985751151,0.765124963237541,1,0.154273386496328,0.057482374090765,0.0437270794448287,0.136323134401907,8.85308564835902e-14,0.025,0,21.08173742794,17.9962696980134,3
3,0.1,-0.04,0.4,0.157035519377218,-0.0299989857511506,0.685124963237541,1,0.117376939610231,0.0258159528565351,0.0108988120551846,0.113982886549511,8.45467326105255e-12,0.025,1.35091937636389e-12,16.0917373949395,13.7441986027349,3
6,0.14,-0.1,0.4,0.197035519377218,-0.0899989857511506,0.685124963237541,1,0.122650014299263,0.0365912774411109,0.0273506565522584,0.113824628305993,4.37752247431773e-14,0.025,9.76996261670138e-15,16.052142376914,13.5991420909287,3
10,0.18,-0.1,0.4,0.237035519377218,-0.0899989857511506,0.685124963237541,1,0.126257115749332,0.0474333715160092,0.0273490494922797,0.113767148315466,6.85439552083898e-11,0.025,4.49240644684323e-12,16.0044009833817,13.479258668395,1
9,0.18,-0.16,0.4,0.237035519377218,-0.149998985751151,0.685124963237541,1,0.130658583712773,0.0473583471796147,0.0437699967717094,0.113635557079847,5.8109655969234e-14,0.025,0,16.0215028250642,13.4083311508087,5
16,0.22,0.04,0.4,0.277035519377218,0.0500010142488494,0.685124963237541,1,0.128426890910123,0.0583275691280062,0.011095809272221,0.113878198111195,2.94668752997844e-11,0.025,3.49853479519879e-12,15.9457324757774,13.377194657575,7
2,0.1,-0.1,0.32,0.157035519377218,-0.0899989857511506,0.605124963237541,1,0.0986024600742196,0.0263543618488834,0.0273600348626463,0.0909907755574211,3.06877880674567e-14,0.025,0,12.1756584711926,10.2036092697082,1
5,0.14,-0.16,0.32,0.197035519377218,-0.149998985751151,0.605124963237541,1,0.107453703142496,0.0371227590718599,0.0437907690998753,0.0908326352120738,7.77103807864565e-13,0.025,6.66133814775094e-13,12.1562595796284,10.0071855167785,1
12,0.18,0.04,0.32,0.237035519377218,0.0500010142488494,0.605124963237541,1,0.103538333868888,0.048131261909529,0.0110963911476704,0.0909969137434871,3.41273112594565e-13,0.025,0,12.0248527605264,9.95408608314863,5
15,0.22,-0.04,0.32,0.277035519377218,-0.0299989857511506,0.605124963237541,1,0.108938287860573,0.0590236024565272,0.0108893872744698,0.0909130692465801,3.06346318802587e-11,0.025,1.30295774170008e-12,11.9687488695777,9.78998311236624,3
1,0.1,-0.16,0.25,0.157035519377218,-0.149998985751151,0.535124963237541,1,0.0874934139836827,0.0266336183804785,0.0438113238255706,0.0708965144921393,1.15639074796158e-10,0.025,0,8.9548103190499,7.20494203937625,1
8,0.14,0.04,0.25,0.197035519377218,0.0500010142488494,0.535124963237541,1,0.0811375270505691,0.0376704480452611,0.0110764490152625,0.0710038584667298,1.42617219916081e-13,0.025,4.74411621098625e-11,8.74011238036306,7.11736183935168,7
11,0.18,-0.04,0.25,0.237035519377218,-0.0299989857511506,0.535124963237541,1,0.0866667870777846,0.0485767331492712,0.0109064342348812,0.0709399934536983,1.72498998012902e-13,0.025,0,8.66546307739684,6.93212733584115,3
14,0.22,-0.1,0.25,0.277035519377218,-0.0899989857511506,0.535124963237541,1,0.0964455718588534,0.0594310280318683,0.0273842574891178,0.0708505728983629,2.85667552690298e-13,0.025,0,8.62841710812316,6.69950567094609,3
