x_m,y_m,z_m,psi_rad,gamma_n,feasible
-0.8415,0.238,1.2,0.785398,-inf,0
-0.8415,0.2465,1.2,0.785398,-inf,0
-0.8415,0.255,1.2,0.785398,-inf,0
-0.8415,0.2635,1.2,0.785398,-inf,0
-0.8415,0.272,1.2,0.785398,-inf,0
-0.8415,0.2805,1.2,0.785398,-inf,0
-0.8415,0.289,1.2,0.785398,-inf,0
-0.8415,0.2975,1.2,0.785398,-inf,0
-0.8415,0.306,1.2,0.785398,-inf,0
-0.8415,0.3145,1.2,0.785398,-inf,0
-0.8415,0.323,1.2,0.785398,-inf,0
-0.8415,0.3315,1.2,0.785398,-inf,0
-0.8415,0.34,1.2,0.785398,-inf,0
-0.8415,0.3485,1.2,0.785398,-inf,0
-0.8415,0.357,1.2,0.785398,-inf,0
-0.8415,0.3655,1.2,0.785398,-inf,0
-0.8415,0.374,1.2,0.785398,-inf,0
-0.8415,0.3825,1.2,0.785398,-inf,0
-0.8415,0.391,1.2,0.785398,-inf,0
-0.8415,0.3995,1.2,0.785398,-inf,0
-0.8415,0.408,1.2,0.785398,-inf,0
-0.8415,0.4165,1.2,0.785398,-inf,0
-0.8415,0.425,1.2,0.785398,-inf,0
-0.8415,0.4335,1.2,0.785398,-inf,0
-0.8415,0.442,1.2,0.785398,-inf,0
-0.8415,0.4505,1.2,0.785398,-inf,0
-0.8415,0.459,1.2,0.785398,-inf,0
-0.8415,0.4675,1.2,0.785398,-inf,0
-0.8415,0.476,1.2,0.785398,-inf,0
-0.8415,0.4845,1.2,0.785398,-inf,0
-0.8415,0.493,1.2,0.785398,-inf,0
-0.8415,0.5015,1.2,0.785398,-inf,0
-0.8415,0.51,1.2,0.785398,-inf,0
-0.8415,0.5185,1.2,0.785398,-inf,0
-0.8415,0.527,1.2,0.785398,-inf,0
-0.8415,0.5355,1.2,0.785398,-inf,0
-0.8415,0.544,1.2,0.785398,-inf,0
-0.8415,0.5525,1.2,0.785398,-inf,0
-0.8415,0.561,1.2,0.785398,-inf,0
-0.8415,0.5695,1.2,0.785398,-inf,0
-0.8415,0.578,1.2,0.785398,-inf,0
-0.8415,0.5865,1.2,0.785398,-inf,0
-0.8415,0.595,1.2,0.785398,-inf,0
-0.8415,0.6035,1.2,0.785398,-inf,0
-0.8415,0.612,1.2,0.785398,-inf,0
-0.8415,0.6205,1.2,0.785398,-inf,0
-0.8415,0.629,1.2,0.785398,-inf,0
-0.8415,0.6375,1.2,0.785398,-inf,0
-0.8415,0.646,1.2,0.785398,-inf,0
-0.8415,0.6545,1.2,0.785398,-inf,0
-0.8415,0.663,1.2,0.785398,-inf,0
-0.8415,0.6715,1.2,0.785398,-inf,0
-0.8415,0.68,1.2,0.785398,-inf,0
